Company,Address,TIF District,Completion Date,Actual Costs,Actual Grant,Work Items
Gleason & Shreffler ,4653 N Milwaukee,Jefferson Park ,03/14/2003,$100000.00,$50000.00,HVAC / Interior Rehab / Facade Renovation
The Wooden Spoon,5047 N Clark,Clark/Montrose,04/24/2003,$100000.00,$50000.00,Facade / Roof / HVAC / Tuckpoint
AA US Carpet,4651 N Milwaukee,Jefferson Park ,05/28/2003,$75000.00,$24486.68,Tuckpoint-Masonry / Electrical Rehab / Interior Renovation / Roof Renovation / Window and Door Replacement
Bernacki & Associates Inc,424 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,05/30/2003,$84802.00,$42401.00,Sidewalk Improvements / Facade / Lintels / HVAC / Electrical / Roof / Interior Buildout
La Donna ,5146 N Clark,Clark/Montrose,05/30/2003,$100000.00,$50000.00,Facade / Landscaping-Fence / Interior /
Cotton Goods Mfg Co,259 N California,Kinzie Industrial Corridor Industrial Corridor,08/11/2003,$93210.00,$39272.00,"Replace Roof, Windows/ Tuckpointing/ Brickwork/ Possible parking lot + HVAC"
MRD Associates Inc,1420 W Hubbard,Kinzie Industrial Corridor Industrial Corridor,09/22/2003,$135000.00,$50000.00,"Facade/Signs, aumins, roof, HVAC, Evn. Remediation/ Storage rack/ public way exterior enhancement"
Liberty Fastener Company ,2950 W Chicago,Kinzie Industrial Corridor Industrial Corridor,10/01/2003,$100000.00,$50000.00,Window Replacement
Cutrone Hair LLC,3118 W 111th ,111th/Kedzie,10/20/2003,$200000.00,$50000.00,Floor / Windows / Doors / Signage / Tuckpoint
Information Technical Institute ,4414 N Clark,Clark/Montrose,02/03/2004,$68000.00,$34726.06,Signage / Roof / HVAC
Kinzie Industrial Corridor Industrial Development,2033 W Fulton,Kinzie Industrial Corridor Industrial Corridor,02/04/2004,$100000.00,$50000.00,Windows
State Farm Insurance ,4465 N Milwaukee,Jefferson Park ,02/24/2004,$10000.00,$4275.00,Sign
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,03/02/2004,$53073.00,$26536.50,Facade Renovation / Window and Door Replacement /
Rangel Rangel & Associates,2332 N Milwaukee,Fullerton/Milwaukee,03/17/2004,$186000.00,$50000.00,Interior Renovation / Extrerior Renovation / Tuckpoint / Roof / Systems
Golden Foods,1036 N Kilbourn,Northwest Industrial Corridor,10/18/2006,$39315.00,$19500.00,Tuckpointing / Windows / Skilights / Freezer / HVAC
Golden Foods,1036 N Kilbourn,Northwest Industrial Corridor,04/06/2004,$60685.00,$30342.50,Tuckpointing / Windows / Skilights / Freezer / HVAC
Paris Drapery,2846 N Milwaukee,Fullerton/Milwaukee,04/06/2004,$28580.00,$21435.00,Roof
Congress Theatre,2135 N Milwaukee,Fullerton/Milwaukee,04/07/2004,$88484.00,$50000.00,Heating System electrical improvements on stage
Pastorelli Food Products Inc ,162 N Sangamon,Kinzie Industrial Corridor Industrial Corridor,04/15/2004,$234000.00,$50000.00,Loading ramps/ overhead doors/ relocate entrance
RPN Sales,4451 N Milwaukee,Jefferson Park ,05/10/2004,$120000.00,$50000.00,Interior Renovations
Exotic Creations Inc ,4645-4647 N Clark,Clark/Montrose,05/13/2004,$8120.00,$4060.00,Interior / Facade / HVAC
NJ Hot Dog Stand,745 S Kedzie,Midwest,05/17/2004,$89200.00,$44600.00,Complete REHAB
Northwest Crankshaft Inc,4714 Walton,Northwest Industrial Corridor,05/17/2004,$20350.20,$10175.10,"Overhead door, exterior concrete work"
Mike O'Malley,5159 W Fullerton,Belmont/Central,05/24/2004,$23215.00,$11607.50,"Parking Lot, Tuckpoint"
Ziggy Kruczalak,5507 W Belmont,Belmont/Central,05/24/2004,$58900.00,$44175.00,Windows / Doors / Facade
Franklin's Restaurant,4767 N Lincoln,Western Ave North,06/08/2004,$700000.00,$50000.00,"Complete Renovation, for new restaurant"
George Salinas Galaxy,4252 N Milwaukee,Portage Park,06/22/2004,$95000.00,$49116.65,"Interior Renovations, Flooring, Dry wall, Windows, Store Front"
Herbert Brusso,4131 N Western,Western Ave South,08/02/2004,$8335.00,$6251.25,Paving / Awnings / Cement
Anthony Zarcone Tastee Freeze,2815 W Armitage,Fullerton/Milwaukee,08/03/2004,$14278.00,$10708.50,Interior Renovations
West End Auto Sales,125 N Cicero,Madison/Austin Corridor,08/05/2004,$30000.00,$15000.00,Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Krzysztof Dental ,6033 W Belmont,Belmont/Central,08/18/2004,$8100.00,$4050.00,Parking Lot / HVAC / Front Door
Madison Pine Dental Clinic,5470 W Madison,Madison/Austin Corridor,08/18/2004,$21652.44,$10826.22,"Facade, flooring, renovations"
Michael Filmowicz,4806 N Milwaukee,Jefferson Park ,09/07/2004,$400000.00,$50000.00,Complete renovation - Floor 1 + 2
AAA Metal Finishers,2904 W Armitage,Fullerton/Milwaukee,09/14/2004,$6507.75,$4880.81,windows
Am Sewing Dynamics,4534 W North,Northwest Industrial Corridor,09/14/2004,$97000.00,$50000.00,Facade improvements / parking / sidewalks / Interior Renovations
Cambodian Assoc Of IL,2831 W Lawrence,Western Ave North,09/14/2004,$105820.00,$50000.00,Interior and exterior renovations
State Farm Insurance ,4465 N Milwaukee,Jefferson Park ,09/14/2004,$9980.00,$4990.00,Sign
Ritchie's Restaurant,3119-3123 W 111th,111th/Kedzie,09/16/2004,$130000.00,$50000.00,New Facade / Doors / Windows / Hardwood floors / HVAC / ADA Restrooms
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,09/27/2004,$41738.00,$20869.00,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment
Ken Sakamoto DDS PC,3939 N Lincoln,Western Ave South,09/27/2004,$24786.88,$12393.44,"Floor, structural"
Mike O'Malley,5159 W Fullerton,Belmont/Central,09/27/2004,$31900.00,$15950.00,"Rehab Exterior, Landscaping"
T & J Plumbing Inc,5251 W Belmont,Belmont/Central,09/27/2004,$37804.00,$18902.00,Roof / Window Replacement
P Jerome Jakubco,2224 W Irving Park,Western Ave South,10/07/2004,$14034.06,$7017.03,Storefronts Awnings
TNT Vending,3120 W 111th ,111th/Kedzie,10/07/2004,$53395.00,$35355.28,Complete Renovation
Northbrook Partners,2522 W Armitage,Fullerton/Milwaukee,10/22/2004,$120000.00,$50000.00,windows
Custom Built Construction Inc,3046 W Armitage,Fullerton/Milwaukee,10/25/2004,$103750.00,$50000.00,Building Renovation
B&G Painting & Dec,4159 N Western,Western Ave South,11/02/2004,$42256.00,$21218.00,"windows, hvac, storefront"
Hot Spot on Armitage,2824 W Armitage,Fullerton/Milwaukee,11/02/2004,$120000.00,$50000.00,Interior and Exterior Renovations for a new retaurant
Jeune Nazon,1750 E 87th ,Stony Island Avenue Commercial and Burnside Industrial Corridors,11/02/2004,$47422.47,$35566.85,"Parking, interior, exterior, HVAC, Roof, storefront"
West End Auto Sales,125 N Cicero,Madison/Austin Corridor,11/10/2004,$29313.00,$14656.50,Lighting / Signage / Office Renovations / paving / Black top / Fence Work
Armitage Ave LLC,2557 W Armitage,Fullerton/Milwaukee,12/17/2004,$27500.00,$14513.40,Exterior Work
Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,12/17/2004,$118000.00,$28892.50,Floors / Electrical / Bathroom / HVAC / Signage
Brooks Bros Services I,4231 W Madison,Madison/Austin Corridor,12/21/2004,$162000.00,$50000.00,"Adjacent Property Purchase, Facade, Electrical, HVAC, ROOF, Floors"
Capitol Carton Co ,1917 W Walnut,Kinzie Industrial Corridor Industrial Corridor,12/21/2004,$60425.00,$30212.50,Roof /
Friendship Chinese Restaurant,2830 N Milwaukee,Fullerton/Milwaukee,12/23/2004,$58262.00,$29131.00,HVAC / Roofing / Signage / Canopy / Electrical / Flooring / Bathrooms / Kitchen Equipment
Ted Barabas,4451 W Kinzie Industrial Corridor,Northwest Industrial Corridor,12/28/2004,$100000.00,$50000.00,adjacent property acquisition
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,12/28/2004,$50000.00,$21712.23,Kitchen Renovations
Ann Ristic,4526 N Milwaukee,Jefferson Park ,01/14/2005,$64629.00,$32314.50,Renovations
Mastercraft Metal Spinning,4141 W Kinzie Industrial Corridor,Northwest Industrial Corridor,01/14/2005,$27480.00,$13740.00,"Roof, Gutter, Front door"
Katerina's,1920 W Irving Park,Western Ave South,01/21/2005,$30068.00,$22551.00,"HVAC, WINDOWS, Parking, fence"
The Hair Shop & Spa,4211 W Madison,Madison/Austin Corridor,01/21/2005,$75151.63,$50000.00,Roof / Masonry / Storefront / Signage / HVAC / Floors / Doors
Anne Gallagher,3055 W Armitage,Fullerton/Milwaukee,02/10/2005,$130000.00,$50000.00,2nd Floor Renovations / Roofwork
B&G Painting & Dec,4159 N Western,Western Ave South,03/10/2005,$26877.81,$13438.91,"windows, hvac, storefront (addition)"
Herbert Brusso,4131 N Western,Western Ave South,03/17/2005,$14005.00,$10503.75,Interior Buidout
Jeune Nazon,1750 E 87th ,Stony Island Avenue Commercial and Burnside Industrial Corridors,03/17/2005,$30000.00,$14433.15,"Parking, interior, exterior, HVAC, Roof, storefront"
Xotic Tan,3129 W Armitage,Fullerton/Milwaukee,03/17/2005,$60215.00,$21107.50,Floors / Electrical / Bathroom / HVAC / Signage
Mike O'Malley,5159 W Fullerton,Belmont/Central,04/13/2005,$10000.00,$5000.00,HVAC
Production Craft Inc ,1437 W Grand,Kinzie Industrial Corridor Industrial Corridor,04/13/2005,$43923.16,$21961.58,Tuckpointing / Plumbing / Sidewalk / Fencing// Possible Purchase of New Building
Dance Academy,2725 S Division,Humboldt Park,04/22/2005,$24200.00,$18150.00,"Floor, office buildout"
Tony Cristofano,5401-5407 W Belmont,Belmont/Central,04/22/2005,$30084.68,$15042.34,Roof / Facade / ADA Door / HVAC
Chicago Kalbi Restaurant,3752 W Lawrence,Lawrence/Kedzie,05/13/2005,$22975.00,$11487.50,"Lintels, Brick"
LaShaun Dumas,721 S Kedzie,Midwest,05/16/2005,$100000.00,$50000.00,Total Rehab
Kelly's Banquet Hall ,810 S Tripp,Midwest,05/23/2005,$100000.00,$50000.00,Complete Renovations
1800 W Lake LLC,1800 W Lake,Kinzie Industrial Corridor Industrial Corridor,06/13/2005,$105000.00,$50000.00,parking lot paving
Antonio Miceli,2123 W Irving Park,Western Ave South,06/13/2005,$70788.00,$35394.00,Storefront and Windows
Wheelwright Inc,3424 W 111th,111th/Kedzie,06/22/2005,$5150.00,$2575.00,HVAC
MacDaddy Salon ,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,06/28/2005,$101842.98,$50000.00,"plumbing, electrical, floors, walls, HVAC"
Northwest Paper Co Joe,5419 W Patterson,Portage Park,07/06/2005,$62747.60,$31373.80,Roof
L & P Provisions ,1301 W Lake,Kinzie Industrial Corridor Industrial Corridor,07/28/2005,$83604.00,$41802.00,roof
Anna Maria Pasteria,4400 N Clark,Clark/Montrose,08/03/2005,$100000.00,$50000.00,Tuckpoint / Exterior / Interior
Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,08/04/2005,$61306.00,$30653.00,"HVAC, Plumbing, Electrical, Sprinkler, Masonary, Concrete, Elevator, Windows, Facade"
IPOL LLC ,1219 W Lake,Kinzie Industrial Corridor Industrial Corridor,08/17/2005,$200000.00,$50000.00,"purchase adjacent property for parking, iron gate"
Elcanto Shoes ,3748 W Lawrence,Lawrence/Kedzie,08/19/2005,$3000.00,$1500.00,reduced to rear parking only
Creative Salon 1 Creative ,3946 W 16th,Midwest,08/23/2005,$23549.30,$17661.98,"Floors, parking, storefront"
Imtiyaz Patel,3554-58 W Lawrence,Lawrence/Kedzie,08/24/2005,$25000.00,$7084.59,"Awning, Windows"
Lawndale Medical,3600 W Roosevelt,Midwest,08/25/2005,$46891.00,$23445.50,"Parking, Landscaping"
Washtown Coin Laundry ,3701 W Lawrence,Lawrence/Kedzie,09/08/2005,$52025.00,$25490.00,"Storefront, door, Plumbing, Security System, Parking Lot"
Nader Salti,1350 W Randolph,Kinzie Industrial Corridor Industrial Corridor,09/15/2005,$38694.00,$19347.00,
Marco Lighting Components Inc ,457 N Leavitt,Kinzie Industrial Corridor Industrial Corridor,09/28/2005,$33847.71,$16734.18,"replace windows, doors, garage doors, hvac"
Chicago Spotlight ,1658 W Carroll,Kinzie Industrial Corridor Industrial Corridor,10/11/2005,$350000.00,$50000.00,"Replace roof, masonary, plumbing, electrical repairs"
Ed Spiwak,3953 W Roosvelt,Midwest,10/14/2005,$103000.00,$50000.00,"Roof, Office build-out, doorways, backporches"
Lawndale Medical,3600 W Roosevelt,Midwest,10/14/2005,$35192.00,$17596.00,Fence
Herbert Brusso,4131 N Western,Western Ave South,10/19/2005,$16788.00,$12591.00,Awnings / Cement
Asiana & Co ,3312 W Lawrence,Lawrence/Kedzie,10/20/2005,$27000.00,$13850.00,"HVAC, Roof"
David Kwang Lee,3243 W Lawrence,Lawrence/Kedzie,10/20/2005,$100000.00,$47067.50,"Windows, Roof, Facade/Tuckpointing, Interior Renovations, Electrical"
First Start Child Patricia Tyus,19 N Cicero,Madison/Austin Corridor,11/18/2005,$7600.00,$3800.00,"Fire Alarm system, renovations"
Brite Site,4616 W Fullerton,Northwest Industrial Corridor,11/22/2005,$100000.00,$50000.00,Roof / HVAC / Windows / Signage / Tuckpoint
Albany Park Auto Clinic,3848 W Lawrence,Lawrence/Kedzie,11/23/2005,$10165.00,$5082.50,HVAC
Marv-o-lus Mfg Co ,220 N Washtenaw,Kinzie Industrial Corridor Industrial Corridor,12/01/2005,$122000.00,$50000.00,"Roof, Masonry repairs, structural repair"
Lawrence-Kedzie Self Storage,3215 W Lawrence,Lawrence/Kedzie,12/02/2005,$89371.00,$44685.50,elevator
Kenneth Motew,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,12/19/2005,$145250.00,$50000.00,complete rehab
L & L Appliance Mart ,3240 W Lawrence,Lawrence/Kedzie,12/19/2005,$5325.00,$2928.75,"Tuckpointing, Interior repairs, primates"
AJC Restoration Inc,228 W Washtenaw,Kinzie Industrial Corridor Industrial Corridor,01/04/2006,$72150.00,$36075.00,"new roof, replace concrete, renovate walls"
American Soda Fountain Inc,455 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,02/10/2006,$11417.00,$5908.50,replace windows
Metro Financial Services,2878 N Milwaukee,Fullerton/Milwaukee,02/10/2006,$150000.00,$35478.93,Handicap Access / Structural support / Floor / Siding / Facade / Plumbing / HVAC / Electricla
Lee Burnstein,3109 W Armitage,Fullerton/Milwaukee,02/13/2006,$100000.00,$50000.00,Facade / Windows / Signage / 2nd Floor Entrence / Renovate Lobby / Flooring
OnCall Interactive ,2247 W Lawrence,Western Ave North,02/14/2006,$100000.00,$26248.33,Interior Renovations
Vincent Gerage,5050 W Irving Park,Portage Park,02/15/2006,$18836.00,$11805.75,"Roof, parapet"
Mr Jose Mestey,2758 W North,Humboldt Park,02/21/2006,$70000.00,$50000.00,"Storefront, sign, electrical, drywall, plumbing, gasline, floor"
Mark Larocca,1035 W Lake,Kinzie Industrial Corridor Industrial Corridor,03/08/2006,$150000.00,$50000.00,complete renovations
Stephen Hamilton,309 N Justine,Kinzie Industrial Corridor Industrial Corridor,03/15/2006,$102000.00,$50000.00,"Replace roof, security gate, tuckpointing, replace glass block windows"
Tres Jolie Art Inc ,1837 W Grand,Kinzie Industrial Corridor Industrial Corridor,03/31/2006,$38000.00,$20900.00,New facade / storefront
Byung Mun Kang,3523 W Lawrence,Lawrence/Kedzie,04/11/2006,$19680.00,$9840.00,"Parking lot paving, HVAC, Facade"
Lawndale Medical,3600 W Roosevelt,Midwest,04/12/2006,$15000.00,$5717.85,gate fabrication & install
Wielgus Product Models Inc ,1435 W Fulton,Kinzie Industrial Corridor Industrial Corridor,04/12/2006,$138608.35,$30443.50,"Finish office, windows, tuckpoint, parking lot, roof insulation"
Andre Tyus Tyus Salon,604 S Pulaski,Midwest,05/05/2006,$17100.00,$12825.00,Interior Build Out
BP Electric Motors,4014 N Western,Western Ave South,05/19/2006,$34086.12,$17043.06,Storefront
La Criolla Inc ,907 W Randolph,Kinzie Industrial Corridor Industrial Corridor,05/22/2006,$18050.00,$9025.00,"roofing, floors, ceilings"
Ameer General Merchandise #2,3443 W Lawrence,Lawrence/Kedzie,05/24/2006,$32500.00,$16250.00,HVAC
Scott Spector Chicago Music Garage,347 N Loomis,Kinzie Industrial Corridor Industrial Corridor,05/24/2006,$120000.00,$50000.00,Complete Rehab of 347 N. Loomis
In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,06/06/2006,$19500.00,$14625.00,roof
Holy Land Grocery 1 ,4806 N Kedzie,Lawrence/Kedzie,06/08/2006,$58787.30,$29393.65,"Interior Renovation, Sign, Floor, Plumbing, Perm. Equipment"
DANK Haus,4740 N Western,Western Ave North,06/14/2006,$104065.00,$50000.00,"Roof repair, heating & air conditioning modernization, elevator repair"
Grant Park Packing Co,842 W Lake,Kinzie Industrial Corridor Industrial Corridor,06/21/2006,$84947.67,$42473.84,Redoing all floors
Grant Park Packing Co,842 W Lake,Kinzie Industrial Corridor Industrial Corridor,06/21/2006,$161000.00,$40250.00,elevator modernization
Top of the Line,4717-23 W Chicago,Northwest Industrial Corridor,06/21/2006,$102000.00,$50000.00,"roof, I-Beam work, garage doors, wrought iron fencing"
Foster Avenue Dental ,3318 W Foster,Lawrence/Kedzie,07/21/2006,$4420.00,$1330.00,"Awning, Lighting, Flooring, Bathroom"
Khosro Beik,1923 W Irving Park,Western Ave South,08/08/2006,$46831.34,$26225.55,"Storefront, windows, floor, HVAC, Lights, Stairway/basement, Awning"
TEC Foods Inc ,4300 W Ohio,Northwest Industrial Corridor,08/08/2006,$50000.00,$35709.00,"ADA Compliance, perm lanscaping, parking lot curbs"
Creative Salon 1 Creative ,3946 W 16th,Midwest,08/17/2006,$23700.00,$17775.00,
Imax Video ,3912 W Lawrence,Lawrence/Kedzie,08/17/2006,$2161.00,$1535.33,awning
Jeffrey A Mills Foot Path Trading Co,2900 W Armitage,Fullerton/Milwaukee,08/17/2006,$16372.00,$6856.87,"Electric, water heater, tuckpointing, ventilation fan, windows, roof"
Lonnie Peterson,1220 W Lake,Kinzie Industrial Corridor Industrial Corridor,08/17/2006,$18280.00,$8198.00,roof
Myong Yul Kim,3544-46 W Lawrence,Lawrence/Kedzie,08/21/2006,$122800.00,$44980.00,"Roof, Basement, Windows"
POMA LLC,2834-36 W Roosevelt Rd,Midwest,08/21/2006,$100000.00,$50000.00,complete renovations
Sharpe Tax Advisors ,4151 N Western,Western Ave South,08/28/2006,$75820.00,$50000.20,interior and ext. renovations
Osman's Auto Repair,222 N Laflin,Kinzie Industrial Corridor Industrial Corridor,09/01/2006,$100000.00,$40660.25,total renovations
Paws & Claws Daycare Inc,5015 N Western,Western Ave North,09/01/2006,$32500.00,$24375.00,"sidewalks, windows, HVAC, facade, tuckpointing, roof?"
Portage Theatre Management I ,4050 N Milwaukee,Portage Park,09/01/2006,$46762.93,$23381.47,"Stage expasion, hvac, fire box"
Design Lab Chicago ,328 N Albany,Kinzie Industrial Corridor Industrial Corridor,09/13/2006,$34278.00,$18852.90,"Install fire doors, emergency exit, sprinkler, roof"
Face to Face Hair Design,3502 W 111th ,111th/Kedzie,09/18/2006,$150000.00,$50000.00,Electric / interior renovation / plumbing / HVAC / Windows / etc
Farlow Development,4222-24 N Milwaukee,Portage Park,09/18/2006,$97671.00,$50000.00,major renovations
Jessica Park,5052-56 W Irving Park Rd,Portage Park,09/18/2006,$110450.00,$50000.00,"storefront, sign & awning, roofing, tuckpointing"
Socksco Hosiery 2 Gun S Son,3040 W Lawrence,Lawrence/Kedzie,09/20/2006,$60870.00,$4682.19,"HVAC, Plumbing, Door, Security"
Creative Salon 1 Creative ,3946 W 16th,Midwest,09/25/2006,$15610.30,$11707.73,
Harold Story,3249 W Harrison,Midwest,09/27/2006,$100000.00,$50000.00,"Water, plumbing, electrical, sign, door, roof, windows"
Cafe Colao,2638 W Division,Humboldt Park,10/13/2006,$21495.74,$16121.81,"Oven, HVAC, Electric"
Harold Goldenberg,2557-69 N Milwaukee,Fullerton/Milwaukee,10/20/2006,$73847.38,$36937.19,Storefronts / Awnings / Signage / Electrical
Bonsoiree Restaurant,2728 W Armitage,Fullerton/Milwaukee,10/25/2006,$12810.00,$6317.50,"Storefront renovations, new windows, doors, awning"
BP Electric Motors,4014 N Western,Western Ave South,11/27/2006,$39000.00,$19500.00,Storefront
Jaafer Sweets ,4825 N Kedzie,Lawrence/Kedzie,12/04/2006,$100000.00,$50000.00,Complete remodel
3256 Pizza Bravo ,3256 W Lawrence,Lawrence/Kedzie,12/21/2006,$69550.00,$50000.00,"Storefront, glass, signage, remove gates, security system, entrance, lighting, ceiling"
Pro Autobody Shop ,4735 N Pulaski,Lawrence/Pulaski,01/08/2007,$37970.00,$20035.00,"Roof, signage, doors, HVAC, electric, bathroom repair"
In Ki Lee,3009-17 W Lawrence,Lawrence/Kedzie,01/09/2007,$51200.00,$35375.00,"HVAC, tuckpointing"
Joe Minogue,4956-58 N Milwaukee,Jefferson Park ,01/09/2007,$219109.50,$50000.00,Renovation work
Harry Kemperas,3251-57 W Bryn Mawr,Lawrence/Kedzie,01/10/2007,$22000.00,$11100.00,four store front renovations
Wielgus Product Models Inc ,1435 W Fulton,Kinzie Industrial Corridor Industrial Corridor,01/10/2007,$138608.35,$19556.50,"Finish office, windows, tuckpoint, parking lot, roof insulation"
WIA Communications Inc,8130 S Stony Island,Stony Island Avenue Commercial and Burnside Industrial Corridors,01/25/2007,$75000.00,$43390.00,"Parking lot/sidewalk, heating & cooling, lanscaping, outdoor signage"
Rudy's Cyclery Inc ,5711 W Irving Park Rd,West Irving Park,01/26/2007,$16328.15,$8125.68,"Facade, roof, doors, tuck point, sign"
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,01/26/2007,$43980.00,$21990.00,"Repair masonry, fence, replace entry, parking lot"
Pastorelli Food Products Inc ,162 N Sangamon,Kinzie Industrial Corridor Industrial Corridor,01/27/2007,$125000.00,$46696.96,"Windows, Tuckpointing, Bathroom renovations, HVAC"
Osman's Auto Repair,222 N Laflin,Kinzie Industrial Corridor Industrial Corridor,02/02/2007,$100000.00,$7300.00,total renovations
Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,02/12/2007,$27450.00,$13725.00,Replacement and/or repair of roof
Chicago Ballet ,433 W Diversey,Fullerton/Milwaukee,02/16/2007,$13250.00,$9937.50,"flooring, ceiling, electrical, interior/bathroom renovation, hvac"
Fashion Corner,1658 E 87th,Stony Island Avenue Commercial and Burnside Industrial Corridors,02/16/2007,$47582.50,$23791.25,HVAC
The Windsor Tavern,4530 N Milwaukee,Jefferson Park ,02/20/2007,$37245.00,$11742.50,"windows, sidewalk, signage"
Ace Styline Furniture,1747 W Carroll,Kinzie Industrial Corridor Industrial Corridor,02/27/2007,$115196.00,$50000.00,Repair Facade / Remove-replace signage. Re-roof building
Ace Styline Furniture,1747 W Carroll,Kinzie Industrial Corridor Industrial Corridor,02/27/2007,$99019.00,$43641.03,"fixed equip., fire doors, sprinkler system"
Harry Cannon,700-04 W 119th,119th/Halsted,02/27/2007,$31560.00,$23670.00,"roof repair, new door, ADA accessable, stair repair, floor repair, HVAC"
TRE Kronor Restaurant ,3258 W Foster,Lawrence/Kedzie,02/27/2007,$107500.00,$50000.00,"Roof, Windows, Exit, Awning, HVAC"
La Plena Restaurant,2617 W Division,Humboldt Park,03/05/2007,$42500.00,$23375.00,"Front rehab, interior buildout, parking"
The Wooden Spoon,5047 N Clark,Clark/Montrose,03/06/2007,$135100.00,$50000.00,Exterior / renovate garage
May Medical Center,3857 W Washington,Madison/Austin Corridor,03/15/2007,$15406.00,$8473.30,Porch
Dokil Bakery Shine Oh,3844 W Lawrence,Lawrence/Kedzie,03/20/2007,$5885.00,$3147.13,"Awning, Sign, Security, Plumbing"
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,Kinzie Industrial Corridor Industrial Corridor,03/21/2007,$159567.20,$37737.00,"sprinkler system, roof, windows, tuckpointing, parking lot repair"
Seyed M Dehnavifar,2200 W Lawrence,Western Ave North,03/22/2007,$150000.00,$50000.00,"HVAC, kitchen hood, concrete, oak floor, electric, signage, plumbing"
Chicago Ballet ,3433 W Diversey,Fullerton/Milwaukee,03/23/2007,$29000.00,$21750.00,interior renovation
Industrial Council of Northwest Chicago (ICNC),2010 W Fulton,Kinzie Industrial Corridor Industrial Corridor,04/12/2007,$239882.80,$50000.00,"sprinkler system, insulation, roof, interior renovations"
Midway Ice Cream ,3958 W 58th PL,63rd/Pulaski,04/17/2007,$27007.00,$13761.50,"Fencing, doors, roof, lighting,HVAC, floors"
Chicago Ballet ,3433 W Diversey,Fullerton/Milwaukee,04/18/2007,$27500.00,$18312.50,interior renovation
Katerina's,1920 W Irving Park,Western Ave South,04/20/2007,$33908.28,$25431.21,Storefront
Bernacki & Associates Inc,424 N Oakley Blvd,Kinzie Industrial Corridor Industrial Corridor,04/24/2007,$100000.00,$31997.50,"Repair loading dock, replace windows, HVAC, upgrade sprinkler system"
