summary_level,soc_code,title,employment_2013,employment_2015,change_net,change_percent,annual_avg_openings_total,annual_avg_openings_growth,annual_avg_openings_replacement,annual_wages_2013_mean,annual_wages_2013_median,annual_wages_2013_entry,annual_wages_2013_experienced,typical_entry_education,work_experience,training_needed
4,11-3031,Financial Managers,1320,1340,20,0.015151515,30,10,20,126600,109570,74570,152610,Bachelor's degree,5 years or more,None
4,11-3051,Industrial Production Managers,640,620,-20,-0.03125,10,0,10,100740,88090,62370,119930,Bachelor's degree,5 years or more,None
4,11-3061,Purchasing Managers,290,280,-10,-0.034482759,10,0,10,101750,93740,68040,118610,Bachelor's degree,5 years or more,None
4,11-3071,"Transportation, Storage, and Distribution Managers",190,190,0,0,0,0,0,87900,84110,55980,103860,High school diploma or equivalent,5 years or more,None
4,11-3111,Compensation and Benefits Managers,80,80,0,0,0,0,0,128670,117630,72640,156680,Bachelor's degree,5 years or more,None
4,11-3121,Human Resources Managers,300,310,10,0.033333333,10,0,10,98860,96500,65830,115370,Bachelor's degree,5 years or more,None
4,11-3131,Training and Development Managers,180,190,10,0.055555556,0,0,0,110570,98990,75030,128340,Bachelor's degree,5 years or more,None
3,11-9000,Other Management Occupations,11930,12010,80,0.006705784,300,60,240,n/a,n/a,n/a,n/a, , , 
4,11-9021,Construction Managers,1080,1090,10,0.009259259,20,10,10,n/a,n/a,n/a,n/a,Bachelor's degree,None,Moderate-term on-the-job training
4,11-9031,"Education Administrators, Preschool and Childcare Center/Program",310,310,0,0,10,0,10,55320,51180,31090,67430,Bachelor's degree,Less than 5 years,None
4,11-9032,"Education Administrators, Elementary and Secondary School",1060,1060,0,0,30,0,30,101230,98180,76710,113490,Master's degree,5 years or more,None
4,11-9033,"Education Administrators, Postsecondary",650,670,20,0.030769231,30,10,20,104370,93990,62140,125490,Master's degree,5 years or more,None
4,11-9039,"Education Administrators, All Other",60,60,0,0,0,0,0,104120,94740,75150,118600,Bachelor's degree,Less than 5 years,None
4,11-9041,Architectural and Engineering Managers,880,840,-40,-0.045454545,20,0,20,122800,118760,97970,135210,Bachelor's degree,5 years or more,None
4,11-9051,Food Service Managers,800,820,20,0.025,20,10,10,64760,52040,36400,78940,High school diploma or equivalent,Less than 5 years,None
4,11-9081,Lodging Managers,50,50,0,0,0,0,0,76380,48740,36630,96250,High school diploma or equivalent,Less than 5 years,None
4,11-9111,Medical and Health Services Managers,1550,1580,30,0.019354839,50,20,30,94130,81420,59960,111220,Bachelor's degree,None,None
4,11-9131,Postmasters and Mail Superintendents,860,850,-10,-0.011627907,20,0,20,63430,63700,45980,72160,High school diploma or equivalent,Less than 5 years,Moderate-term on-the-job training
4,11-9141,"Property, Real Estate, and Community Association Managers",520,530,10,0.019230769,10,0,10,n/a,n/a,n/a,n/a,High school diploma or equivalent,Less than 5 years,None
4,11-9151,Social and Community Service Managers,610,620,10,0.016393443,20,10,10,66450,62750,47280,76040,Bachelor's degree,5 years or more,None
4,11-9199,"Managers, All Other",830,830,0,0,20,0,20,89540,83940,50790,108910,High school diploma or equivalent,Less than 5 years,None
2,13-0000,Business and Financial Operations Occupations,26070,26750,680,0.026083621,880,360,520,66750,59080,38640,80800, , , 
3,13-1000,Business Operations Specialists,15210,15580,370,0.024326101,440,190,250,n/a,n/a,n/a,n/a, , , 
4,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",100,100,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,Less than 5 years,None
4,13-1022,"Wholesale and Retail Buyers, Except Farm Products",600,620,20,0.033333333,30,10,20,52250,46840,35540,60610,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1360,1340,-20,-0.014705882,20,0,20,58510,54420,40570,67480,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1031,"Claims Adjusters, Examiners, and Investigators",810,820,10,0.012345679,30,10,20,64660,60190,45610,74180,High school diploma or equivalent,None,Long-term on-the-job training
4,13-1041,Compliance Officers,1060,1060,0,0,20,0,20,58090,56230,39260,67500,Bachelor's degree,None,Moderate-term on-the-job training
4,13-1051,Cost Estimators,830,840,10,0.012048193,40,10,30,59290,55540,38340,69770,Bachelor's degree,None,None
4,13-1071,Human Resources Specialists,1460,1490,30,0.020547945,40,20,20,56260,51740,37200,65780,Bachelor's degree,None,None
4,13-1074,Farm Labor Contractors,80,80,0,0,0,0,0,n/a,n/a,n/a,n/a,Less than high school,Less than 5 years,Short-term on-the-job training
4,13-1075,Labor Relations Specialists,390,390,0,0,10,0,10,67500,60150,44920,78790,Bachelor's degree,None,None
4,13-1081,Logisticians,270,280,10,0.037037037,0,0,0,67060,64850,45660,77760,Bachelor's degree,None,None
4,13-1111,Management Analysts,2160,2220,60,0.027777778,60,30,30,101410,90110,59250,122480,Bachelor's degree,Less than 5 years,None
4,13-1121,"Meeting, Convention, and Event Planners",470,510,40,0.085106383,30,20,10,47460,44640,30050,56170,Bachelor's degree,None,None
4,13-1131,Fundraisers,490,500,10,0.020408163,20,10,10,42500,37790,23500,52000,Bachelor's degree,None,None
4,13-1141,"Compensation, Benefits, and Job Analysis Specialists",390,390,0,0,10,0,10,58760,56690,41790,67250,Bachelor's degree,None,None
4,13-1151,Training and Development Specialists,1410,1440,30,0.021276596,40,20,20,51580,47480,29670,62540,Bachelor's degree,Less than 5 years,None
4,13-1161,Market Research Analysts and Marketing Specialists,2240,2360,120,0.053571429,90,60,30,70020,64040,40370,84850,Bachelor's degree,None,None
4,13-1199,"Business Operations Specialists, All Other",1070,1090,20,0.018691589,20,10,10,68810,63480,40860,82780,High school diploma or equivalent,None,None
3,13-2000,Financial Specialists,10860,11170,310,0.02854512,430,160,270,n/a,n/a,n/a,n/a, , , 
4,13-2011,Accountants and Auditors,6180,6420,240,0.038834951,300,120,180,72480,62460,43480,86980,Bachelor's degree,None,None
4,13-2021,Appraisers and Assessors of Real Estate,480,480,0,0,10,0,10,47380,45380,32640,54750,Bachelor's degree,None,Long-term on-the-job training
4,13-2031,Budget Analysts,220,220,0,0,10,0,10,67620,61700,51540,75660,Bachelor's degree,None,None
4,13-2051,Financial Analysts,1160,1200,40,0.034482759,50,20,30,78210,71780,50420,92110,Bachelor's degree,None,None
4,13-2052,Personal Financial Advisors,810,830,20,0.024691358,20,10,10,78650,60240,44250,95850,Bachelor's degree,None,None
4,13-2053,Insurance Underwriters,270,270,0,0,10,0,10,57690,47970,40960,66060,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2071,Credit Counselors,130,130,0,0,0,0,0,48020,44710,32620,55730,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2072,Loan Officers,770,770,0,0,10,0,10,57750,45310,25010,74130,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2081,"Tax Examiners and Collectors, and Revenue Agents",180,180,0,0,10,0,10,66170,61150,47120,75690,Bachelor's degree,None,Moderate-term on-the-job training
4,13-2082,Tax Preparers,190,200,10,0.052631579,0,0,0,39590,36520,26650,46060,High school diploma or equivalent,None,Moderate-term on-the-job training
4,13-2099,"Financial Specialists, All Other",350,360,10,0.028571429,0,0,0,54170,48370,34930,63780,Bachelor's degree,None,Moderate-term on-the-job training
2,15-0000,Computer and Mathematical Occupations,16090,16500,410,0.025481666,440,210,230,68350,64740,41780,81640, , , 
3,15-1100,Computer Occupations,15690,16070,380,0.024219248,420,200,220,n/a,n/a,n/a,n/a, , , 
4,15-1121,Computer Systems Analysts,2220,2330,110,0.04954955,80,50,30,69740,68110,44090,82560,Bachelor's degree,None,None
4,15-1122,Information Security Analysts,260,280,20,0.076923077,10,10,0,86050,83310,63500,97320,Bachelor's degree,Less than 5 years,None
4,15-1131,Computer Programmers,1490,1510,20,0.013422819,50,10,40,60600,58860,37840,71970,Bachelor's degree,None,None
4,15-1132,"Software Developers, Applications",2420,2490,70,0.02892562,60,30,30,78190,78180,51690,91440,Bachelor's degree,None,None
4,15-1133,"Software Developers, Systems Software",1990,1980,-10,-0.005025126,20,0,20,89650,87310,62050,103460,Bachelor's degree,None,None
4,15-1134,Web Developers,560,580,20,0.035714286,20,10,10,58390,58680,37850,68660,Associate's degree,None,None
4,15-1141,Database Administrators,510,520,10,0.019607843,20,10,10,73450,73440,47900,86230,Bachelor's degree,Less than 5 years,None
4,15-1142,Network and Computer Systems Administrators,1520,1540,20,0.013157895,30,10,20,68780,67650,47390,79470,Bachelor's degree,None,None
4,15-1143,Computer Network Architects,510,520,10,0.019607843,10,0,10,75890,71310,49320,89170,Bachelor's degree,5 years or more,None
4,15-1151,Computer User Support Specialists,3380,3490,110,0.032544379,110,60,50,47740,45270,33010,55110,"Some college, no degree",None,Moderate-term on-the-job training
4,15-1152,Computer Network Support Specialists,610,620,10,0.016393443,20,10,10,59450,57090,39520,69410,Associate's degree,None,None
3,15-2000,Mathematical Science Occupations,400,420,20,0.05,20,10,10,n/a,n/a,n/a,n/a, , , 
4,15-2011,Actuaries,80,90,10,0.125,0,0,0,98260,75790,54810,119990,Bachelor's degree,None,Long-term on-the-job training
4,15-2031,Operations Research Analysts,280,290,10,0.035714286,20,10,10,60860,57410,44040,69260,Bachelor's degree,None,None
2,17-0000,Architecture and Engineering Occupations,12050,11820,-230,-0.019087137,300,20,280,72010,69660,43970,86040, , , 
3,17-1000,"Architects, Surveyors, and Cartographers",580,590,10,0.017241379,20,10,10,n/a,n/a,n/a,n/a, , , 
4,17-1011,"Architects, Except Landscape and Naval",280,290,10,0.035714286,10,0,10,70750,69190,45890,83180,Bachelor's degree,None,Internship/residency
4,17-1022,Surveyors,130,130,0,0,0,0,0,60930,60830,42560,70120,Bachelor's degree,Less than 5 years,None
3,17-2000,Engineers,7880,7680,-200,-0.025380711,210,10,200,n/a,n/a,n/a,n/a, , , 
4,17-2041,Chemical Engineers,190,180,-10,-0.052631579,0,0,0,89910,84740,63360,103190,Bachelor's degree,None,None
4,17-2051,Civil Engineers,930,950,20,0.021505376,30,10,20,74290,72470,56780,83040,Bachelor's degree,None,None
4,17-2061,Computer Hardware Engineers,290,280,-10,-0.034482759,10,0,10,105580,101080,77060,119850,Bachelor's degree,None,None
4,17-2071,Electrical Engineers,1440,1440,0,0,30,0,30,86370,83750,59960,99570,Bachelor's degree,None,None
4,17-2072,"Electronics Engineers, Except Computer",720,690,-30,-0.041666667,20,0,20,85000,83680,62350,96330,Bachelor's degree,None,None
4,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",80,80,0,0,0,0,0,76590,74240,54400,87690,Bachelor's degree,None,None
4,17-2112,Industrial Engineers,1370,1320,-50,-0.03649635,40,0,40,77180,74220,53780,88890,Bachelor's degree,None,None
4,17-2131,Materials Engineers,160,150,-10,-0.0625,10,0,10,87550,87550,62840,99910,Bachelor's degree,None,None
4,17-2141,Mechanical Engineers,1640,1580,-60,-0.036585366,60,0,60,77070,74860,55410,87900,Bachelor's degree,None,None
4,17-2199,"Engineers, All Other",620,570,-50,-0.080645161,10,0,10,86160,86010,62410,98040,Bachelor's degree,None,None
3,17-3000,"Drafters, Engineering Technicians, and Mapping Technicians",3590,3540,-50,-0.013927577,80,10,70,n/a,n/a,n/a,n/a, , , 
4,17-3011,Architectural and Civil Drafters,250,250,0,0,0,0,0,41760,40170,27810,48730,Associate's degree,None,None
4,17-3012,Electrical and Electronics Drafters,160,160,0,0,0,0,0,61770,59000,41240,72040,Associate's degree,None,None
4,17-3013,Mechanical Drafters,270,260,-10,-0.037037037,0,0,0,51810,49450,33870,60780,Associate's degree,None,None
4,17-3022,Civil Engineering Technicians,150,150,0,0,0,0,0,52570,52880,38140,59790,Associate's degree,None,None
4,17-3023,Electrical and Electronics Engineering Technicians,1110,1110,0,0,20,0,20,44200,43550,28650,51980,Associate's degree,None,None
4,17-3025,Environmental Engineering Technicians,70,70,0,0,0,0,0,41300,37410,33770,45060,Associate's degree,None,None
4,17-3026,Industrial Engineering Technicians,790,750,-40,-0.050632911,20,0,20,55660,47860,34320,66330,Associate's degree,None,None
4,17-3027,Mechanical Engineering Technicians,210,210,0,0,0,0,0,53480,50920,41900,59270,Associate's degree,None,None
4,17-3029,"Engineering Technicians, Except Drafters, All Other",310,310,0,0,10,0,10,56120,54590,39800,64280,Associate's degree,None,None
4,17-3031,Surveying and Mapping Technicians,190,190,0,0,0,0,0,46200,44090,29270,54670,High school diploma or equivalent,None,Moderate-term on-the-job training
2,19-0000,"Life, Physical, and Social Science Occupations",4190,4270,80,0.019093079,180,50,130,55420,48610,27310,69470, , , 
3,19-1000,Life Scientists,520,530,10,0.019230769,20,10,10,n/a,n/a,n/a,n/a, , , 
4,19-1012,Food Scientists and Technologists,50,50,0,0,0,0,0,n/a,n/a,n/a,n/a,Bachelor's degree,None,None
4,19-1031,Conservation Scientists,100,100,0,0,0,0,0,50190,51340,35480,57550,Bachelor's degree,None,None
4,19-1042,"Medical Scientists, Except Epidemiologists",210,210,0,0,0,0,0,113870,96620,56800,142410,Doctoral or professional degree,None,None
3,19-2000,Physical Scientists,400,400,0,0,10,0,10,n/a,n/a,n/a,n/a, , , 
4,19-2031,Chemists,210,210,0,0,10,0,10,73450,60400,41360,89490,Bachelor's degree,None,None
4,19-2041,"Environmental Scientists and Specialists, Including Health",110,110,0,0,0,0,0,66300,59770,51420,73740,Bachelor's degree,None,None
3,19-3000,Social Scientists and Related Workers,1460,1500,40,0.02739726,60,20,40,n/a,n/a,n/a,n/a, , , 
4,19-3031,"Clinical, Counseling, and School Psychologists",840,840,0,0,20,0,20,69510,68520,47570,80470,Doctoral or professional degree,None,Internship/residency
4,19-3051,Urban and Regional Planners,130,130,0,0,10,0,10,60110,59900,39500,70410,Master's degree,None,None
4,19-3093,Historians,90,90,0,0,0,0,0,31490,29460,26340,34060,Master's degree,None,None
3,19-4000,"Life, Physical, and Social Science Technicians",1810,1850,40,0.022099448,90,20,70,n/a,n/a,n/a,n/a, , , 
4,19-4011,Agricultural and Food Science Technicians,60,60,0,0,0,0,0,40180,34780,28410,46060,Associate's degree,None,Moderate-term on-the-job training
4,19-4021,Biological Technicians,110,110,0,0,0,0,0,38320,37250,27190,43880,Bachelor's degree,None,None
4,19-4031,Chemical Technicians,200,190,-10,-0.05,10,0,10,45570,44720,29860,53420,Associate's degree,None,Moderate-term on-the-job training
4,19-4091,"Environmental Science and Protection Technicians, Including Health",100,100,0,0,0,0,0,36580,33890,26330,41710,Associate's degree,None,None
2,21-0000,Community and Social Service Occupations,11710,11870,160,0.013663535,330,80,250,45210,42920,27840,53890, , , 
3,21-1000,"Counselors, Social Workers, and Other Community and Social Service Specialists",10220,10340,120,0.011741683,280,60,220,n/a,n/a,n/a,n/a, , , 
4,21-1011,Substance Abuse and Behavioral Disorder Counselors,560,570,10,0.017857143,10,0,10,41570,37570,28320,48200,High school diploma or equivalent,None,Moderate-term on-the-job training
4,21-1012,"Educational, Guidance, School, and Vocational Counselors",1750,1770,20,0.011428571,50,10,40,55640,52500,38600,64160,Master's degree,None,None
4,21-1013,Marriage and Family Therapists,90,90,0,0,0,0,0,36540,36120,27820,40900,Master's degree,None,Internship/residency
4,21-1014,Mental Health Counselors,500,510,10,0.02,10,0,10,41440,42880,25860,49230,Master's degree,None,Internship/residency
4,21-1015,Rehabilitation Counselors,750,750,0,0,20,0,20,30470,27630,22230,34580,Master's degree,None,None
4,21-1019,"Counselors, All Other",200,210,10,0.05,0,0,0,34690,32400,26030,39020,Master's degree,None,None
4,21-1021,"Child, Family, and School Social Workers",1090,1090,0,0,20,0,20,49160,45850,32060,57700,Bachelor's degree,None,None
4,21-1022,Healthcare Social Workers,650,680,30,0.046153846,20,10,10,46570,46520,35860,51920,Master's degree,None,None
4,21-1023,Mental Health and Substance Abuse Social Workers,530,530,0,0,10,0,10,44550,43220,28810,52420,Bachelor's degree,None,None
4,21-1029,"Social Workers, All Other",780,780,0,0,20,0,20,51020,48910,39350,56860,Bachelor's degree,None,None
4,21-1091,Health Educators,270,270,0,0,10,0,10,47530,50290,30430,56080,Bachelor's degree,None,None
4,21-1092,Probation Officers and Correctional Treatment Specialists,430,430,0,0,10,0,10,61650,61600,47950,68500,Bachelor's degree,None,Short-term on-the-job training
4,21-1093,Social and Human Service Assistants,2100,2120,20,0.00952381,60,10,50,36150,33700,24720,41860,High school diploma or equivalent,None,Short-term on-the-job training
4,21-1094,Community Health Workers,120,130,10,0.083333333,0,0,0,29720,27700,21430,33870,High school diploma or equivalent,None,Short-term on-the-job training
4,21-1099,"Community and Social Service Specialists, All Other",410,410,0,0,10,0,10,46810,45030,29310,55560,Master's degree,None,None
3,21-2000,Religious Workers,1490,1530,40,0.026845638,50,20,30,n/a,n/a,n/a,n/a, , , 
4,21-2011,Clergy,1120,1140,20,0.017857143,30,10,20,51580,46380,24970,64890,Bachelor's degree,None,Moderate-term on-the-job training
4,21-2021,"Directors, Religious Activities and Education",350,360,10,0.028571429,20,10,10,39460,40920,23110,47630,Bachelor's degree,Less than 5 years,None
2,23-0000,Legal Occupations,4630,4730,100,0.021598272,120,50,70,80400,74540,33780,103710, , , 
3,23-1000,"Lawyers, Judges, and Related Workers",3030,3080,50,0.01650165,70,20,50,n/a,n/a,n/a,n/a, , , 
4,23-1011,Lawyers,1890,1940,50,0.026455026,50,20,30,103320,91310,66970,121500,Doctoral or professional degree,None,None
4,23-1022,"Arbitrators, Mediators, and Conciliators",390,390,0,0,10,0,10,69470,66590,36300,86050,Bachelor's degree,Less than 5 years,Moderate-term on-the-job training
4,23-1023,"Judges, Magistrate Judges, and Magistrates",360,360,0,0,10,0,10,130510,134770,117670,136920,Doctoral or professional degree,5 years or more,Short-term on-the-job training
3,23-2000,Legal Support Workers,1600,1650,50,0.03125,50,30,20,n/a,n/a,n/a,n/a, , , 
4,23-2011,Paralegals and Legal Assistants,1200,1250,50,0.041666667,50,30,20,38670,35780,23180,46410,Associate's degree,None,None
4,23-2091,Court Reporters,100,100,0,0,0,0,0,59680,61360,19890,79580,Postsecondary non-degree award,None,Short-term on-the-job training
4,23-2093,"Title Examiners, Abstractors, and Searchers",190,190,0,0,0,0,0,44400,38360,27630,52780,High school diploma or equivalent,None,Short-term on-the-job training
4,23-2099,"Legal Support Workers, All Other",110,110,0,0,0,0,0,44240,35610,23110,54810,High school diploma or equivalent,None,Short-term on-the-job training
2,25-0000,"Education, Training, and Library Occupations",55300,55920,620,0.011211573,1420,350,1070,54450,47130,24880,69240, , , 
3,25-1000,Postsecondary Teachers,12780,13190,410,0.032081377,410,230,180,n/a,n/a,n/a,n/a, , , 
4,25-1011,"Business Teachers, Postsecondary",490,510,20,0.040816327,20,10,10,82080,62720,34540,105850,Doctoral or professional degree,None,None
4,25-1021,"Computer Science Teachers, Postsecondary",270,280,10,0.037037037,10,10,0,97340,87600,52840,119590,Doctoral or professional degree,None,None
4,25-1022,"Mathematical Science Teachers, Postsecondary",320,330,10,0.03125,0,0,0,83940,67170,38680,106570,Doctoral or professional degree,None,None
4,25-1042,"Biological Science Teachers, Postsecondary",200,210,10,0.05,0,0,0,100410,80880,53010,124110,Doctoral or professional degree,None,None
4,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",70,70,0,0,0,0,0,152680,108550,55920,">$187,200",Doctoral or professional degree,None,None
4,25-1052,"Chemistry Teachers, Postsecondary",120,110,-10,-0.083333333,0,0,0,111160,85150,54810,139340,Doctoral or professional degree,None,None
4,25-1053,"Environmental Science Teachers, Postsecondary",60,60,0,0,0,0,0,117390,83710,50000,151090,Doctoral or professional degree,None,None
4,25-1054,"Physics Teachers, Postsecondary",170,170,0,0,0,0,0,161820,140350,62650,">$187,200",Doctoral or professional degree,None,None
4,25-1061,"Anthropology and Archeology Teachers, Postsecondary",60,50,-10,-0.166666667,0,0,0,91020,73340,45610,113720,Doctoral or professional degree,None,None
4,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",60,60,0,0,0,0,0,92190,77690,50750,112920,Doctoral or professional degree,None,None
4,25-1063,"Economics Teachers, Postsecondary",130,130,0,0,0,0,0,122860,99630,62000,153290,Doctoral or professional degree,None,None
4,25-1065,"Political Science Teachers, Postsecondary",120,120,0,0,0,0,0,111420,90490,54530,139870,Doctoral or professional degree,None,None
4,25-1066,"Psychology Teachers, Postsecondary",190,190,0,0,0,0,0,80170,62040,39830,100340,Doctoral or professional degree,None,None
4,25-1067,"Sociology Teachers, Postsecondary",100,100,0,0,0,0,0,74140,71390,44080,89170,Doctoral or professional degree,None,None
4,25-1071,"Health Specialties Teachers, Postsecondary",1720,1840,120,0.069767442,80,60,20,127580,115210,62180,160280,Doctoral or professional degree,Less than 5 years,None
4,25-1072,"Nursing Instructors and Teachers, Postsecondary",370,400,30,0.081081081,20,10,10,93060,77180,44570,117310,Master's degree,Less than 5 years,None
4,25-1081,"Education Teachers, Postsecondary",220,230,10,0.045454545,10,10,0,83220,69460,42110,103780,Doctoral or professional degree,None,None
4,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",220,230,10,0.045454545,0,0,0,49660,38940,33630,57670,Doctoral or professional degree,None,None
4,25-1113,"Social Work Teachers, Postsecondary",80,70,-10,-0.125,0,0,0,42250,36860,29610,48570,Doctoral or professional degree,None,None
4,25-1121,"Art, Drama, and Music Teachers, Postsecondary",670,690,20,0.029850746,20,10,10,97770,83810,48660,122330,Master's degree,None,None
4,25-1122,"Communications Teachers, Postsecondary",130,130,0,0,0,0,0,62620,58470,40050,73900,Doctoral or professional degree,None,None
4,25-1123,"English Language and Literature Teachers, Postsecondary",340,350,10,0.029411765,10,10,0,77910,63810,39880,96930,Doctoral or professional degree,None,None
4,25-1124,"Foreign Language and Literature Teachers, Postsecondary",200,210,10,0.05,10,10,0,72720,62410,44190,86990,Doctoral or professional degree,None,None
4,25-1125,"History Teachers, Postsecondary",190,200,10,0.052631579,0,0,0,104400,77090,46550,133320,Doctoral or professional degree,None,None
4,25-1126,"Philosophy and Religion Teachers, Postsecondary",140,150,10,0.071428571,0,0,0,95560,76060,56630,115020,Doctoral or professional degree,None,None
4,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",140,140,0,0,0,0,0,59570,48320,36720,70990,Doctoral or professional degree,None,None
4,25-1194,"Vocational Education Teachers, Postsecondary",270,270,0,0,0,0,0,53500,55290,31640,64430,Bachelor's degree,Less than 5 years,None
4,25-1199,"Postsecondary Teachers, All Other",2460,2510,50,0.020325203,60,30,30,92590,86120,51470,113150,Doctoral or professional degree,None,None
3,25-2000,"Preschool, Primary, Secondary, and Special Education School Teachers",21790,21910,120,0.005507113,550,60,490,n/a,n/a,n/a,n/a, , , 
4,25-2011,"Preschool Teachers, Except Special Education",1410,1410,0,0,40,0,40,32020,26490,19080,38490,Associate's degree,None,None
4,25-2012,"Kindergarten Teachers, Except Special Education",800,810,10,0.0125,20,0,20,48670,50090,29490,58270,Bachelor's degree,None,Internship/residency
4,25-2021,"Elementary School Teachers, Except Special Education",6020,6090,70,0.011627907,170,40,130,56990,55120,40160,65400,Bachelor's degree,None,Internship/residency
4,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",2810,2840,30,0.010676157,80,20,60,58610,55850,41420,67200,Bachelor's degree,None,Internship/residency
4,25-2023,"Career/Technical Education Teachers, Middle School",200,200,0,0,0,0,0,64690,65040,45440,74310,Bachelor's degree,Less than 5 years,Internship/residency
4,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",5800,5800,0,0,160,0,160,61130,57420,44370,69500,Bachelor's degree,None,Internship/residency
4,25-2032,"Career/Technical Education Teachers, Secondary School",400,400,0,0,10,0,10,70270,65120,49640,80590,Bachelor's degree,Less than 5 years,Internship/residency
4,25-2051,"Special Education Teachers, Preschool",330,340,10,0.03030303,20,10,10,53800,52590,41780,59810,Bachelor's degree,None,Internship/residency
4,25-2052,"Special Education Teachers, Kindergarten and Elementary School",1580,1580,0,0,30,0,30,58480,56330,43330,66060,Bachelor's degree,None,Internship/residency
4,25-2053,"Special Education Teachers, Middle School",770,770,0,0,10,0,10,61530,59840,44440,70070,Bachelor's degree,None,Internship/residency
4,25-2054,"Special Education Teachers, Secondary School",1640,1640,0,0,30,0,30,64000,60910,47650,72170,Bachelor's degree,None,Internship/residency
3,25-3000,Other Teachers and Instructors,9020,9100,80,0.00886918,200,50,150,n/a,n/a,n/a,n/a, , , 
4,25-3011,Adult Basic and Secondary Education and Literacy Teachers and Instructors,770,770,0,0,10,0,10,56540,57290,37610,66000,Bachelor's degree,None,Internship/residency
4,25-3021,Self-Enrichment Education Teachers,2150,2220,70,0.03255814,60,30,30,38570,33170,22730,46500,High school diploma or equivalent,Less than 5 years,None
4,25-3098,Substitute Teachers,4790,4790,0,0,80,0,80,26280,25900,20550,29150,Bachelor's degree,None,Internship/residency
4,25-3099,"Teachers and Instructors, All Other",1300,1330,30,0.023076923,30,10,20,50200,53170,27050,61770,Bachelor's degree,None,Internship/residency
3,25-4000,"Librarians, Curators, and Archivists",1580,1580,0,0,60,0,60,n/a,n/a,n/a,n/a, , , 
4,25-4012,Curators,60,60,0,0,0,0,0,50810,41160,29980,61230,Master's degree,None,None
4,25-4021,Librarians,900,910,10,0.011111111,20,0,20,53610,52370,35590,62620,Master's degree,None,None
4,25-4031,Library Technicians,560,560,0,0,30,0,30,32340,29450,17280,39870,Postsecondary non-degree award,None,None
3,25-9000,"Other Education, Training, and Library Occupations",10130,10130,0,0,210,10,200,n/a,n/a,n/a,n/a, , , 
4,25-9011,Audio-Visual and Multimedia Collections Specialists,280,280,0,0,0,0,0,35710,33630,26790,40180,Bachelor's degree,Less than 5 years,None
4,25-9031,Instructional Coordinators,740,750,10,0.013513514,10,10,0,66220,60670,40290,79180,Master's degree,5 years or more,None
