X,Y,OBJECTID,PROGRAM_ID,AGENCY_ID,NAME,ADDRESS,ADDRESS2,ZIPCODE,AKA,PHONE,PHONE2,PHONE3,PHONE4,PHONE5,PHONE1_DESCRIPTION,PHONE2_DESCRIPTION,PHONE3_DESCRIPTION,PHONE4_DESCRIPTION,PHONE5_DESCRIPTION,FAX,WEB_URL,EMAIL,BUSINESS_HOURS,ELIGIBILITY,FEES,INTAKE,LANGUAGES,AREA_SERVED,DOCUMENTATION,DIRECTIONS,TRANSPORTATION,QUADRANT,PAYMENT_METHODS,VOLUNTEER_OPPORTUNITIES,SEASON_START_DATE,SEASON_END_DATE,WAIT_LIST_PERIOD,HANDICAP,PUBLIC_RECORD,SEARCHABLE_AREA,DIRECTOR,TITLE,WEB_WARD,DESCRIPTION,ADDRESS_ID,KEYWORD
-76.971370130430927,38.852675946363675,1011,DCAP0403BE,DCAP0403,DCG - Fire & EMS Dept - Irving Street Station,2425 IRVING STREET SE,,20020,Engine 32 - Truck Company 16 - Medic 3,(   )    -,(202) 673-3331,,(202) 673-3232,,,Public Information Office,to report fire and request ambulance,Non-Emergency Engine Company,,(202) 462-0807,fems.dc.gov,,Open 24 hours,,,,,,,,,SE,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",47304,Emergency Rescue
-77.069912522905909,38.954248006279144,1012,DCAP0403BF,DCAP0403,DCG - Fire & EMS Dept - Connecticut Avenue (2) Station,4930 CONNECTICUT AVENUE NW,,20008,Eng 31 - Medic 20,(   )    -,(202) 673-3331,,,,,Public Information Office,to report fires and request ambulance,,,(202) 462-0807,fems.dc.gov,,Open 24 hours,,,,,,,,,NW,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",294604,Emergency Rescue
-77.005246790620035,38.830940868723481,1013,DCAP0403BG,DCAP0403,DCG - Fire & EMS Dept - Atlantic Street Station,101 ATLANTIC STREET SE,,20032,Engine 33 - Truck 8 - Ambulance 21 - Medic 23,(   )    -,(202) 673-3331,,(202) 673-3233,,,Public Information Office,to report fire and request ambulance,Non-Emergency Engine Company,,(202) 462-0807,fems.dc.gov,,Open 24 hours,,,,,,,,,SE,,,,,,,1,,Stephen M. Reid,Battalion Fire Chief/PIO,,"Responds to fires and emergency medical calls for residents, visitors, and organizations in the District of Columbia in order to improve the quality of life.  The Department does this through fire prevention, fire suppression, providing pre-hospital emer",294471,Emergency Rescue
-77.018473139662277,38.820439969239906,1014,DCAP0404AA,DCAP0378,DCG - WASA (Water and Sewer Authority),5000 OVERLOOK AVENUE SW,,20032,WASA,(202) 612-3400,(202) 787-2000,(202) 442-8000,(202) 264-3827,(202) 612-3575,Water & Sewer Emergencies,Public Affairs,Customer Service/Water Bill Action Line,Sewer Services,Water Services,(202) 645-0663,http://www.dcwasa.com,info@dcwasa.com,"8:00 am - 5:30 pm, Monday - Friday (Office Hours);  Open 24 hours (Water Treatment & Water Distribution)",,,,,District of Columbia,,,,SW,,,,,,,1,,Jerry N. Johnson,General Manager,,Provides water and sewer removal services to neighborhoods and homes when sewer and water backup is evidenced.  Provides high quality potable water to customers in the District and efficient waste water collection & treatment services to the District and,276170,Water Safety
-77.030086888472113,38.926068899555482,1015,DCAP0405AA,DCAP0405,Easter Seals - Children's Center,2800 13TH STREET NW,,20009,,(202) 387-4434,,,,,Main number,,,,,(202) 462-7379,http://www.eseal.org,tsmith@eseal.org,,"Ages 6 weeks - 5 years; children with and without disabilities","No fee (DCPS Special Ed), Flat fee, Sliding scale","Telephone, Referral required if Part C or DHS Voucher",,,"Social Security card, Birth Certificate, Proof of residence, Medical records, DHS voucher, Service prescription)",,,1,"Medicaid, Other,",,,,,,1,,Tracy Smith,Center Director,,Provides quality early education and childcare services.  Serves the needs of children with and without disabilities offering educational programs in an environment that encourages each child to reach their fullest potential.  Services include: full-day ,231593,Child Development
-77.034174125240739,38.917479959254571,1016,DCAP0411AA,DCAP0411,Campbell Heights Apartments,2001 15TH STREET NW,,20009,,(202) 855-1000,(202) 483-6694,(202) 483-6695,,(202) 855-1234,Voice Mail,Main Number,Alternative Number,,TTY/TDD number,(202) 667-2915,,,"8:30 am - 5:00 pm, Monday - Thursday; 8:30 am - 4:00 pm, Friday","Seniors ages 62 and over, only 1 person under 62 allowed",,Telephone,,District of Columbia,,"One block from the Metro; convenient to 3 bus routes",Provides bus transportation for shopping.,NW,,,,,,,1,,Joy Bennett-Shikmut,Community Manager,,"Offers one bedroom apartments for seniors (one apartment available for handicapped or disabled).  Provides a daily lunch, recreational activities and a library.   Provides a daily clinic for nursing assistance and weekly podiatrist care.
",239975,Housing-Seniors
-77.046641567881267,38.915361211480565,1017,DCAP0407AA,DCAP0407,St. Margaret's Episcopal Church - Homeless Breakfast Program,1830 CONNECTICUT AVENUE NW,,20009,"Charlie’s, Charlies Place, Casa de Carlos",(202) 232-3066,,,,,Intake Number,,,,,(202) 265-7817,http://www.stmargaretsdc.org,office@stmargaretsdc.org,"7:00 am - 8:00 pm, Tuesdays, Fridays","Homeless men, women",No Fee,Walk-In,"English, French, Spanish, Arabic",District of Columbia,None,"Metro Rail Stop:  Dupont Circle, 3 blocks;  Metro Bus Route, #42, stops in front of program",,NW,"No Payment,",,,,,,1,,Mary N. Sebold,"Director, Homeless Breakfast Progra",,"Serves a hot breakfast along with juice, coffee, and pastries to homeless men and women.  Holds sessions for speakers to talk about issues relevant to homelessness.


",299899,Food-Soup Kitchens
-77.054430887109262,38.930618664146905,1018,DCAP0412AA,DCAP0412,Friends of the National Zoo,3001 CONNECTICUT AVENUE NW,,20008,FONZ,(202) 673-4639,(202) 673-4952,,(202) 673-4700,,Employment (JOBS),Administrative Number,,TTY/TDD Number,,(202) 673-4700,,hr@fonz.org,Open 7 days a week,None,No Fee,"Telephone, Walk-In",English,District of Columbia,Social Security Card  Picture ID,"Metro Rail Stop:  Cleveland Park, 2 blocks",None,NW,"No Payment,",,,,,"Designated Parking, Indoor Wheelchair",1,,Clinton A. Fields,Executive Director,,"Strives to provide biological education, to preserving diversity, to protecting the environment, and to serving the needs of visitors and the community for high quality recreational experiences at the National zoo in support of the mission of the Smithso",293230,Education General
-77.030133443360498,38.947268659797764,1019,DCAP0413AA,DCAP0413,Peoples Congregational United Church - Peoples Clothes Closet,4704 13TH STREET NW,,,,(202) 829-5511,(202) 829-5512,,,,Intake Number,Intake Number,,,,(202) 726-9301,,,"9:15 am - 11:15 am, Fridays (2nd though 5th Friday of each month)",In need,None,"Walk-In, By Appointment, Written referral",English,Metropolitan Washington area,Picture ID,"Metro Rail Stop: Takoma Park, 15-20 blocks;  Metro Bus Route, #52, 2 blocks",Not provided for this service,4,"No Payment,",,,,7,Designated Parking,1,,Dr. A. Knighton Stanley,Minister,,"Provides a service to the Church and community through the distribution of clothes and household items to persons in need of assistance, who are members of the Peoples Church or have been referred by a social worker or a social service agency.",284954,Clothing
-77.030133443360498,38.947268659797764,1020,DCAP0413AB,DCAP0413,Peoples Congregational United Church - Peoples Food Pantry,4704 13TH STREET NW,,20011,,(202) 829-5511,(202) 829-5512,,,,Intake Number,Intake Number,,,,(202) 726-9301,,,"9:30 am - 11:30 am, Fridays (closed 1st Friday of the month)",Person in need,No Fee," Written referral (Answers, Please! referral accepted - see procedure in notes)",English,Metropolitan Washington area,Picture ID,"Metro Rail Stop: Takoma Park, 15-20 blocks;  Metro Bus Route, #52, 2 blocks",Transportation is rarely provided,NW,"No Payment,",,,,7,Designated Parking,1,,Dr. A. Knighton Stanley,Minister,,"Distributes food to persons in need only on Fridays but they must have a referral from Answers, Please! or other social service agency.  Referring agency must call the program on Tuesday, Wednesday or Thursday to request assistance for a customer and the",284954,Food-Pantries
-76.978148255323205,38.923446606879644,1021,DCAP0416AA,DCAP0416,Washington Center for Aging - Center Care Day Treatment Program,2601 18TH STREET NE,,20018,,(202) 541-6150,,,,,Program Director,,,,,(202) 526-7982,,,,Older persons who require non-residential therapeutic care in the day,Accepts Medicaid,Telephone,,District of Columbia,,,,NE,"Medicaid,",,,,,,1,,,Program Director,,Serves as an adult day treatment program for older persons who require non-residential therapeutic care during the day.  Also includes special activities for Alzheimer's patients.,287131,Seniors
-77.024996299927764,38.902882099577873,1022,DCAP0417AA,DCAP0417,Downtown Cluster's - Geriatric Day Care Center,900 MASSACHUSETTS AVENUE NW,,20001,,(202) 347-7527,,,,,Program Director,,,,,(202) 347-6983,www.downtowncluster.org/programs.htm,,,Impaired older persons,,Telephone,,District of Columbia,,,,NW,,,,,,,1,,,Program Director,,"Provides social and emotional support for the impaired older person to increase physical independence.  Provides an active therapeutic program for diagnostic evaluations incorporated with counseling, educational, and recreational activities.",239813,Seniors
-76.996902667559638,38.884620802830462,1023,DCAP0419AA,DCAP0419,Heads Up - AmeriCorps Youth Program,645 PENNSYLVANIA AVENUE SE,Suite 300,20003,,(202) 544-4468,,,,,Intake Number,,,,,(202) 544-4437,www.headsup-dc.org,info@headsup-dc.org,"9:00 am - 6:00 pm, Monday - Friday","Must be in grades 1-6 at Birney A. Bowen, Brookland, Davis, Marie Reed, or Tyler Elementary",No fee,Telephone,English  (Enrolls ESL Students at Adams Morgan site),"Adams Morgan, Brookland, Capitol Hill, Barry Farm, Benning Heights & Southwest DC",,Varies by site,Transportation provided only for field trips,SE,"No Payment,",,,,60,Elevators or None Needed,1,,Vincent Pan,Executive Director,,"Provides students in grades 1 through 6 with two hours of after school tutoring and homework assistance every week during the school year.  During the summer months, also offers full days of enrichment and academic activities for eight weeks. Ensures tha",1659,After School Programs
-76.996902667559638,38.884620802830462,1024,DCAP0419AB,DCAP0419,Heads Up - PATH Program,645 PENNSYLVANIA AVENUE SE,Suite 300,20003,,(202) 544-4468,,,,,Intake Number,,,,,(202) 544-4437,http://www.headsup-dc.org,info@headsup-dc.org,"9:00 am - 6:00 pm, Monday - Friday","Grades 7-12 & should meet 1 criterion: attended the youth program; worked for the agency; relative of past student",No fee,Telephone,English  (Enrolls ESL Students at Adams Morgan site),"Adams Morgan, Brookland, Capitol Hill, Barry Farm, Benning Heights & Southwest DC",,Varies by site,Transportation provided only for field trips,SE,"No Payment,",,,,30,Elevators or None Needed,1,,Vincent Pan,Executive Director,,"Organizes local college students to coach and mentor small teams of students in 7th through 12th grades to form positive peer relationships, gain marketable skills through employment, and learn ""the ins and outs"" of college admissions and financial aid. ",1659,After School Programs
-77.015654505443507,38.895453357962545,1025,DCAP0379AH,DCAP0379,DCG - Office on Aging - Older Workers Employment & Training Prog.,441 4TH STREET NW,"441 4th Street, NW",20001,"DCOA, OWETP, Older Workers Employment and Training Program",(202) 724-3662,,,,( 20) 272-4892,Intake Number,,,,TTY/TDD Number,(202) 727-1569,www.dcoa.dc.gov,,"8:30 am - 5:00 pm, Monday - Friday","Ages 55 and older, DC Resident",No fee,"Telephone, Walk-In, By Appointment",,District of Columbia,"Social Security card, Picture ID, Proof of DC residence","Metro Rail Stop: Judiciary Square, in front of entrance; Metro Bus Route:  #D4, #D2",,NW,"No Payment,",,,,,,1,,John James,Project Officer,,"Assists seniors find employment, learn new skills, earn additional income and gain an expanded support system. 
",285552,Seniors
-77.032405818770911,38.917451816558355,1026,DCAP0349BM,DCAP0349,DCG - DOH - Immunization Clinic - Reeves Municipal Center,2000 14TH STREET NW,,20006,,(202) 576-7130,,,,,Information Number,,,,,(202) 576-6418,http://www.dchealth.com/,,"4:30 pm - 7:30 pm, Thursdays",Clinics may be closed near major holidays,No fee,Walk-In,,District of Columbia,records of past immunizations,"Metro Rail Stop:  U Street/Cardoza (Green Line); Corner of 14th & U Streets",,NW,"No Payment,",,,,,Designated Parking,1,,,,,"Provides free immunizations.
",239976,Health Care
-77.033330656353968,38.916794038188897,1027,DCAP0465AA,DCAP0465,DC AIDS Information Line,1432 U STREET NW,,20009,DC AIL,(877) 939-2437,(202) 332-2437,(202) 332-3926,(202) 328-0697,(202) 939-7814,Toll-free Hotline,AIDS Information Hotline,Testing Information,AIDS Information Hotline in Spanish,TTY/TDD Number,,http://www.wwc.org/hiv_aids_services/aids_information_line.html,dcail@wwc.org,Open 24 hours,None,No fee,Telephone,"English, Spanish, TDD",Washington DC Metropolitan area,,"Metro Rail Stop: U Street/Cardozo (Green), take 13th Street exit; Metro Bus Route: 90, 92, 54, 52",,NW,"No Payment, Other,",Anytime,,,,,1,,Cornelius Baker,Executive Director,,"Provides accurate and honest information on HIV, AIDS, and sexually transmitted diseases. ",279168,Information & Referral
-77.013472731565273,38.870582553612081,1028,DCAP0466AA,DCAP0466,Southwest Community House - Emergency Services,156 Q STREET SW,,20024,SWCH,(202) 488-7210,,,,,Main Number,,,,,(202) 488-0153,http://www.swhouse.org,swhouse@swhouse.com,"9:00 am - 5:30 pm, Monday - Friday",Southwest residents only,No Fee,"Telephone, By Appointment, Walk-In",,"Southwest District of Columbia, Ward 2 (zip code 20024 only)","Social Security Card, Picture ID, Birth Certificate, Utility Cut-Off Notice, Eviction Notice, Income & Residence Verification",Metro Bus Route: 71 (Buzzard Point) and 70 (P Street),"For group trips, home-bound seniors or the disabled, and the pick-up of donated furniture",SW,"No Payment,",Anytime,,,,,1,WARD2_____,Mr. Peter Jones,Executive Director,,"Provides housing counseling and support services to clients seeking suitable and affordable housing.  Provides referrals to housing providers in the community, and financial and utility assistance to residents who are in imminent danger of being evicted ",60584,Utility Assistance
-77.013472731565273,38.870582553612081,1029,DCAP0466AB,DCAP0466,Southwest Community House - Employment Services,156 Q STREET SW,,20024,SWCH,(202) 488-7210,,,,,Main Number,,,,,(202) 488-0153,http://www.swhouse.org,swhouse@swhouse.com,"9:00 am - 5:30 pm, Monday - Friday",Southwest residents,No Fee,"Telephone, By Appointment, Walk-In",,Southwest District of Columbia,,Metro Bus Route  71 (Buzzard Point) & 70 (P Street),,SW,"No Payment,",Anytime,,,,,1,,Mr. Peter Jones,Executive Director,,"Offers job preparation, job development, employment referrals and a job club.  
",60584,Employment-Search/Placement
-77.013260312986432,38.875939784839083,1030,DCAP0466AC,DCAP0466,Southwest Community House - Seniors Program,1200 DELAWARE AVENUE SW,Room # 3,20024,SWCH,(202) 484-3133,(202) 488-7210,,,,Main Number,Service until 5:30 pm,,,,(202) 488-0153,http://www.swhouse.org,swhouse@swhouse.com,"9:00 am - 4:00 pm, Monday - Friday","Seniors, Southwest Residents",No Fee,"Telephone, By Appointment, Walk-In",,Southwest District of Columbia,"Income Verification, Proof of Residence",Metro Bus Route: 71 (Buzzard Point) and 70 (P Street),"Scheduled group trips, emergency transportation for home-bound elderly",SW,"No Payment,",Anytime,,,,,1,,Mr. Peter Jones,Executive Director,,"Distributes food to the elderly, provides referrals and assistance to community resources, and coordinates social activities.

",72281,Seniors
-77.013472731565273,38.870582553612081,1031,DCAP0466AG,DCAP0466,"Southwest Community House - Adult Basic Education, GED Program",156 Q STREET SW,,20024,"SWCH, ABE, GED",(202) 488-7210,,,,,Main Number,,,,,(202) 488-0153,http://www.swhouse.org,swhouse@swhouse.com,,SW Residents,No fee,"Telephone, By Appointment, Walk-In",,SW District of Columbia,"Social Security card, Eviction notice, Picture ID, Birth Certificate, Utility cut off notice, Last paycheck stub, Proof of res",Metro Bus Route:  #71 (Buzzard Point) & 70 (P Street),"Scheduled (group) trips, pick-up food and furniture,  emergency transportation and Home - bound elderly or disabled",SW,"No Payment,",Anytime,,,,,1,,Mr. Peter Jones,Executive Director,,,60584,Counseling
-77.013472731565273,38.870582553612081,1032,DCAP0466AH,DCAP0466,Southwest Community House - Youth Programs,156 Q STREET SW,,20024,"SWCH, Dollars for Scholars, Anthony Bowen after-school program",(202) 488-7210,,,,,Intake Number,,,,,(202) 488-0153,http://www.swhouse.org,swhouse@swhouse.com,"3:30 pm - 6:30 pm,  Monday - Friday; noon - 5:00 pm, Monday - Friday (Summer Enrichment program, June through August)","Youth, Southwest residents",No Fee,"Telephone, By Appointment, Walk-In (after-school program at  Anthony Bowen Elementary School)",,Southwest District of Columbia,Proof of Residence,Metro Bus Route:  71 (Buzzard Point) & 70 (P Street),,SW,"No Payment,",Anytime,,,,,1,,Mr. Peter Jones,Executive Director,,"Offers a multifaceted youth program designed to steer youth away from anti-social behavior and promote leadership qualities.  Provides mentoring and after-school tutorial services in the areas of reading, writing, and math skills.  Offers a Dollars for S",60584,After School Programs
-77.062636945895193,38.94347705640255,1033,DCAP0467AA,DCAP0467,American Association of Suicidology,4201 CONNECTICUT AVENUE NW,Suite 408,20008,AAS,(202) 237-2280,,,,,Main number,,,,,(202) 237-2282,,berman@suicidology.org,"8:00 am - 5:00 pm, Monday - Friday",None,Sliding Scale,,,,,,,NW,"Other,",,,,,,1,,Dr. Alan Berman,Executive Director,,Promotes human wellness and suicide prevention. ,220631,Health Care
-77.008448300969022,38.901026134471778,1034,DCAP0083GQ,DCAP0083,DCG - DCPS - Board of Education,825 NORTH CAPITOL STREET NE,Ninth Floor,20002,,(202) 442-4289,(202) 442-5635,,,,Board of Education,Public Information,,,,,www.k12.dc.us,,"8:00 am - 4:30 pm, Monday - Friday",,,,,,,,,NE,,,,,,,1,,,,,"Provides public education for all students of the District of Columbia from pre-kindergarten through grade 12. 

",289003,Schools-Districts
-77.047006403271467,38.904872018595981,1035,DCAP0436AE,DCAP0436,Social Security Administration - District Headquarters,2100 M STREET NW,,20037,"SSA, SSI, SSDI, MEDICARE, Federal Government",(202) 653-5040,(800) 772-1213,,,,Main Number,General Information Number,1-800-MEDICARE (Medicare Hotline),1-800-63342273 (Medicare Hotline),,(202) 376-5179,http://www.ssa.gov,,"9:00 am - 4:00 pm, Monday - Friday",,,"Telephone, By Appointment, Walk-In",Spanish,District of Columbia,,"Metro Rail Stop:  Foggy Bottom, Dupont Circle, Farragut North, on the corner of 21 st and M Street",,NW,"Medicare,",,,,,Indoor Wheelchair,1,,Beth McKinnon,Manager,,"Provides Supplemental Security Income (SSI), Social Security Disability Insurance (SSDI), and Social Security Retirement Benefits.  Administers social security cards, Medicare cards, and replacements.",279529,Social Security
-76.996455859974759,38.899982227448405,1036,DCAP0327AO,DCAP0337,DCG - DHS - IMA - Burial Assistance,645 H STREET NE,Fourth Floor,20002,"Income Maintenance, TANF, Burial, Burials, Funeral",(202) 698-4112,(202) 724-5506,(202) 698-3900,,,Burial Assistance Unit,IMA Customer Service Center,Administrative Number,,,,http://www.dhs.dc.gov,,"8:15 am - 4:45 pm, Monday - Friday","Low-income DC residents, undertaker must have a contract with IMA, funeral and cremation costs must be below a certain limit",No Fee,By Application (Telephone for details),,District of Columbia,"Proof of DC residency, Proof of income, Proof of resources, Proof of relationship",Metro Rail Stop: Union Station,,NE,,,,,,,1,,Sharon Cooper-Deloatch,Acting Chief,,"Provides assistance to low-income families who need help with burial/funeral costs and who meet the eligibility criteria. Families should call the Burial Assistance Unit for a list of participating funeral homes and for detailed eligibility criteria.
",288821,Burials
-77.021171564795964,38.894383194880604,1037,DCAP0470AA,DCAP0470,CSOSA - DC Pre-Trial Services - Superior Court Drug Intervention,633 INDIANA AVENUE NW,9th Floor,20004, SCDIP OR DRUG COURT,(202) 220-5505,(202) 220-5511,(202) 220-5500,(202) 220-5509,,Intake Number,Court Operations Number,Administrative number,Treatment Operations,,(202) 220-5613,http://www.dcpsa.gov/,berginj@csosa.fed.us,"8:00 am - 5:00 pm, Monday - Friday",Defendents must have current or pending non-violent or misdemeanor charges,No fee,Referral Required by court or attorney.  Must have current or pending non-violent or misdemeanor charges,,District of Columbia,,"Metro Rail Stop; Archives walk 1/2 block, Judiciary Square walk 3 blocks,",,NW,"No Payment,",Anytime,,,,Not Accessible,1,,Susan Shaffer,Director,,"Treats defendants on an outpatient basis for substance abuse. Offers group pyschotherapy, individual counseling, vocational and educational referrals.  Also offers HIV counseling and testing, intensive case management, and drug testing.

",238716,Drug Testing
