victim_age,victim_gender,victim_race,date_of_incident,city,state,zipcode,county,agency,cause_of_death,symptoms_of_mental_illness,unarmed,alleged_weapon,alleged_threat_level,fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Black,10/8/17,Louisville,KY,40213,Jefferson,Louisville Metro Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Male,White,10/8/17,Lakeside,AZ,85929,Navajo,Pinetop-Lakeside Police Department,Gunshot,Drug or alcohol use,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,Hispanic,10/8/17,San Fernando,CA,91340,Los Angeles,San Fernando Police Department,Gunshot,No,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Female,White,10/8/17,Springfield,AR,72157,Conway,Conway County Sheriff’s Office,Tasered,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Male,Unknown race,10/8/17,Abingdon,VA,24211,Washington,Washington County Sheriff's Office,Gunshot,No,Allegedly Armed,machete,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Unknown race,10/7/17,Little Rock,AR,72207,Pulaski,Little Rock Police Department,Gunshot,Drug or alcohol use,Vehicle,vehicle,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Female,Hispanic,10/7/17,Mesa,AZ,85210,Maricopa,Mesa Police Department,Gunshot,Yes,Allegedly Armed,gun,undetermined,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Unknown race,10/7/17,Charleston,WV,25301,Kanawha,Kanawha County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Male,Unknown race,10/7/17,St. Louis,MO,63139,St. Louis City,St. Louis Metropolitan Police Department,Tasered,No,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Male,White,10/6/17,Golden,CO,80403,Jefferson,Colorado State Patrol,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Male,Hispanic,10/6/17,Miami,FL,33125,Miami-Dade,Miami-Dade Police Department,Gunshot,No,Allegedly Armed,gun,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Male,White,10/6/17,Perryopolis,PA,15473,Fayette,Perryopolis Police Department,Gunshot,Yes,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Hispanic,10/6/17,Duarte,CA,91010,Los Angeles,Pasadena Police Department,Gunshot,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Hispanic,10/6/17,Orlando,FL,32812,Orange,Orlando Police Department,"Gunshot, Taser",Yes,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,Unknown race,10/6/17,Sun City,KS,67143,Barber,Barber County Sheriff's Office,Other,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Male,Unknown race,10/6/17,Ocean City,MD,21842,Worcester,Maryland State Police,Vehicle,No,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,White,10/5/17,Hiram,GA,30141,Paulding,Paulding County Sheriff's Office,Gunshot,No,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,Hispanic,10/5/17,Garden City,KS,67846,Finney,"Finney County Sheriff's Office, Garden City Police Department",Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Hispanic,10/5/17,Brownsville,TX,78520,Cameron,Brownsville Police Department,Gunshot,No,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,White,10/5/17,Leeds,AL,35094,Jefferson,Leeds Police Department,Gunshot,No,Allegedly Armed,gun,attack,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Asian,10/5/17,St. Paul,MN,55106,Ramsey,St. Paul Police Department,Gunshot,Drug or alcohol use,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,White,10/4/17,Spokane,WA,99205,Spokane,Spokane Police Department,Gunshot,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
67,Male,White,10/4/17,Mesa,AZ,85201,Maricopa,Mesa Police Department,Gunshot,Unknown,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Female,Unknown race,10/4/17,Canandaigua,NY,14424,Ontario,Canandaigua Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Male,Black,10/4/17,Thomasville,GA,31792,Thomas,Thomas County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,White,10/3/17,Jefferson City,MO,65101,Cole,Jefferson City Police Department,Gunshot,No,Allegedly Armed,pipe,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Black,10/2/17,West Monroe,LA,71292,Ouachita,Ouachita Parish Sheriff's Office,Gunshot,No,Allegedly Armed,gun,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,White,10/1/17,St. Louis,MO,63123,St. Louis,St. Louis County Police Department,Gunshot,Yes,Allegedly Armed,gun and sword,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Male,White,10/1/17,Seward,AK,99664,Kenai Peninsula,Seward Police Department,Gunshot,Unknown,Allegedly Armed,undetermined,undetermined,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,White,10/1/17,Fort Collins,CO,80524,Larimer,Fort Collins Police Services,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,White,10/1/17,Washington,PA,15301,Washington,Pennsylvania State Police,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,Black,10/1/17,Burlington,IA,52601,Des Moines,Burlington Police Department,Gunshot,No,Allegedly Armed,undetermined,undetermined,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,Male,White,10/1/17,Parkton,NC,28371,Robeson,Robeson County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,Hispanic,10/1/17,Miami,FL,33147,Miami-Dade,Hialeah Police Department,Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,Black,9/30/17,Palatka,FL,32177,Putnam,Palatka Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,Male,Unknown race,9/30/17,Olathe,KS,66062,Johnson,Olathe Police Department,Physical Restraint,No,Unclear,undetermined,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,White,9/30/17,Garden City,IN,47201,Bartholomew,Indiana State Police,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,Male,Black,9/28/17,Topeka,KS,66607,Shawnee,Topeka Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,Unknown race,9/28/17,Temple,TX,76501,Bell,Temple Police Department,Physical Restraint,Drug or alcohol use,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Female,White,9/28/17,Placitas,NM,87043,Sandoval,Sandoval County Sheriff's Office,Vehicle,No,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40s,Male,Black,9/28/17,Oakland,CA,94601,Alameda,Oakland Police Department,Tasered,Unknown,Unarmed,none,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Male,White,9/28/17,Salt Lake City,UT,84102,Salt Lake,Salt Lake City Police Department,Gunshot,Unknown,Allegedly Armed,baton,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,White,9/27/17,Masaryktown,FL,34604,Hernando,"Hernando County Sheriff's Office, U.S. Marshals Service",Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Male,White,9/27/17,Griffin,GA,30223,Spalding,Spalding County Sheriff’s Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Male,Black,9/27/17,Berkeley,CA,94710,Alameda,"Fairfield Police Department, Richmond Police Department",Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,White,9/26/17,Eugene,OR,97404,Lane,Eugene Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,White,9/26/17,Fairview,TN,37062,Williamson,Fairview Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,White,9/26/17,Coolin,ID,83821,Bonner,Bonner County Sheriff’s Office,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,Male,Unknown race,9/26/17,Rolla,MO,65401,Phelps,Rolla Police Department,Vehicle,Unknown,Vehicle,vehicle,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,Black,9/25/17,Palmetto,FL,34221,Manatee,Palmetto Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,White,9/25/17,Las Vegas,NV,89102,Clark,Las Vegas Metropolitan Police Department,Gunshot,Drug or alcohol use,Allegedly Armed,Taser,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Male,Black,9/24/17,San Francisco,CA,94133,San Francisco,San Francisco Police Department,Gunshot,No,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Male,White,9/24/17,New Castle,IN,47362,Henry,New Castle Police Department,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,Male,Unknown race,9/23/17,Inwood,NY,11096,Nassau,Nassau County Police Department,Tasered,Drug or alcohol use,Unarmed,none,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Unknown race,9/23/17,Maumelle,AR,72113,Pulaski,Maumelle Police Department,Vehicle,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Unknown,Unknown race,9/23/17,Prince Frederick,MD,20678,Calvert,Calvert County Sheriff’s Office,Vehicle,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,White,9/23/17,Hattiesburg,MS,39401,Forrest,Hattiesburg Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,White,9/22/17,Huntington Beach,CA,92647,Orange,Huntington Beach Police Department,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,Male,White,9/22/17,Mesa,AZ,85208,Maricopa,Mesa Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Male,White,9/22/17,Brooksville,FL,34601,Hernando,Hernando County Sheriff’s Office,Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,White,9/22/17,Commerce City,CO,80022,Adams,Adams County Sheriff’s Office,Gunshot,No,Unclear,undetermined,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Unknown race,9/22/17,Oceanside,CA,92056,San Diego,Oceanside Beach Police Department,Gunshot,No,Allegedly Armed,gun and knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Unknown race,9/21/17,Littleton,CO,80127,Jefferson,Jefferson County Sheriff’s Office,Gunshot,No,Unclear,undetermined,undetermined,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,Unknown race,9/21/17,Tacoma,WA,98404,Pierce,Pierce County Sheriff’s Office,Gunshot,Yes,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Male,Unknown race,9/21/17,Lane,OK,74555,Atoka,Oklahoma Highway Patrol,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Male,Hispanic,9/21/17,Rockwall,TX,75087,Rockwall,Rockwall Police Department,Gunshot,No,Vehicle,vehicle,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Black,9/20/17,Huntsville,AL,35810,Madison,Huntsville Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Black,9/20/17,Peoria,IL,61604,Peoria,Peoria Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Male,Unknown race,9/19/17,Chula Vista,CA,91910,San Diego,Chula Vista Police Department,Gunshot,No,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Unknown race,9/19/17,La Porte,TX,77571,Harris,La Porte Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Male,White,9/19/17,Bernice,LA,71222,Union,Union Parish Sheriff’s Office,Gunshot,Unknown,Unclear,undetermined,undetermined,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,Male,Hispanic,9/19/17,Oklahoma City,OK,73129,Oklahoma,Oklahoma City Police Department,Gunshot,No,Unclear,metal pipe,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,White,9/19/17,Monroe,NC,28110,Union,Union County Sheriff’s Office,Gunshot,No,Allegedly Armed,gun,undetermined,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,Male,Unknown race,9/19/17,Independence,VA,24348,Grayson,Grayson County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,White,9/18/17,Piedmont,AL,36272,Calhoun,Calhoun County Sheriff's Office,Gunshot,Yes,Unclear,undetermined,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Black,9/17/17,West Milford,WV,26451,Harrison,Harrison County Sheriff's Office,Gunshot,No,Allegedly Armed,gun,attack,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Hispanic,9/17/17,Los Angeles,CA,90033,Los Angeles,California Highway Patrol,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,Male,White,9/17/17,Oak Harbor,WA,98277,Island,Island County Sheriff's Office,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Transgender,White,9/16/17,Atlanta,GA,30318,Fulton,Georgia Tech Police Department,Gunshot,Yes,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,Hispanic,9/15/17,San Jose,CA,95132,Santa Clara,San Jose Police Department,Gunshot,No,Unarmed,none,other,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Male,Hispanic,9/15/17,Haymarket,VA,20169,Prince William,Prince William County Police Department,Gunshot,Unknown,Allegedly Armed,crowbar,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Unknown race,9/15/17,Fife,WA,98421,Pierce,"Des Moines, WA",Gunshot,No,Unclear,undetermined,other,Other,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Male,Unknown race,9/15/17,Hallandale Beach,FL,33009,Broward,Hollywood Police Department,Gunshot,Unknown,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,Male,White,9/15/17,Myrtle Beach,SC,29577,Horry,Myrtle Beach Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,White,9/14/17,Frametown,WV,26623,Braxton,West Virginia State Police,Gunshot,Unknown,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Hispanic,9/13/17,Quartzsite,AZ,85346,La Paz,Arizona Department of Public Safety,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Male,Hispanic,9/11/17,West Valinda,CA,91746,Los Angeles,Los Angeles County Sheriff's Department,Gunshot,Drug or alcohol use,Unarmed,toy,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,Male,Native American,9/11/17,Great Falls,MT,59401,Cascade,Great Falls Police Department,Gunshot,No,Unclear,undetermined,other,Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Male,White,9/11/17,Hixson,TN,37343,Hamilton,Tennessee Highway Patrol,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,Male,Hispanic,9/10/17,Chicago,IL,60639,Cook,Chicago Police Department,Gunshot,Unknown,Vehicle,vehicle,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Male,Hispanic,9/10/17,Youngtown,AZ,85363,Maricopa,El Mirage Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Male,Hispanic,9/10/17,Tacoma,WA,98409,Pierce,Tacoma Police Department,Gunshot,Yes,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Male,White,9/10/17,Huntersville,NC,28078,Mecklenburg,Huntersville Police Department,Gunshot,Unknown,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,Male,White,9/10/17,Plano,TX,75023,Collin,Plano Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Male,Black,9/9/17,Arcata,CA,95521,Humboldt,"Arcata Police Department, Humboldt State University Police Department",Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Male,White,9/8/17,Monett,MO,65708,Barry,Monett Police Department,Gunshot,Drug or alcohol use,Unclear,undetermined,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,Male,White,9/8/17,Amarillo,TX,79106,Potter,Amarillo Police Department,Gunshot,No,Allegedly Armed,gun,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Male,Black,9/7/17,Sacramento,CA,95820,Sacramento,Sacramento Police Department,Gunshot,No,Allegedly Armed,gun,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,Male,Hispanic,9/6/17,Silver Spring,MD,20902,Montgomery,Montgomery County Police Department,Vehicle,No,Vehicle,vehicle,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,Male,Hispanic,9/6/17,Charlotte,NC,28213,Mecklenburg,Charlotte-Mecklenburg Police Department,Gunshot,Unknown,Allegedly Armed,gun,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Male,Black,9/6/17,Bronx,NY,10466,Bronx,New York Police Department,Gunshot,Unknown,Allegedly Armed,knife,other,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,Male,White,9/6/17,Los Angeles,CA,90013,Los Angeles,California Highway Patrol,Gunshot,Unknown,Unarmed,none,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Unknown,Female,Unknown race,9/5/17,Houston,TX,77068,Harris,"Harris County Sheriff's Office, U.S. Marshals Service",Gunshot,No,Vehicle,vehicle,attack,Car,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Male,White,9/5/17,Miami,FL,33183,Miami-Dade,Miami-Dade Police Department,Gunshot,No,Allegedly Armed,knife,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,Male,White,9/4/17,Columbus,GA,31903,Muscogee,Columbus Police Department,Gunshot,No,Allegedly Armed,chair,attack,Not fleeing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
