name1,name2,street1,street2,city,state,zip,zip4,county,phone,intake_prompt,intake1,intake2,hotline_prompt,hotline1,hotline2,website,dir_prefix,dir_first,dir_mi,dir_last,dir_suffix,dir_title,dir_phone,dir_fax,dir_email,mail_street1,mail_street2,mail_city,mail_state,mail_zip,mail_zip4,latitude,longitude,type_facility,last_update,saf,mhf,mhsaf,ghf,sa,dt,mm,mmw,dm,bum,bmw,db,rpn,bu,nxn,vtrl,meth,hh,noop,pain,nmoa,moa,ubn,otpa,otp,cbt,dbt,saca,trc,rebt,smon,smpd,smop,hi,res,op,rs,rl,rd,od,omb,odt,oit,ort,hid,hit,ct,gh,psyh,pvt,vamc,tbg,ih,stg,lccg,ddf,stag,stmh,stdh,hla,jc,carf,ncqa,coa,hfap,onat,np,sf,md,mc,si,pi,mi,ihs,atr,fsa,ss,pa,ah,sp,nx,fx,co,gl,vet,adm,mf,cj,se,ad,pw,wn,mn,hv,trma,xa,dv,tay,nsc,adtx,bdtx,cdtx,mdtx,odtx,tgd,tid,ico,gco,fco,mco,twfa,bia,cmi,moti,ang,mxm,crv,relp,bc,chld,yad,adlt,fem,male,bmo,mo,du,duo 
Richardson Counseling Center LLC,,112 Park Ridge Lane,,Pekin,IL,61554,3900,Tazewell,309-346-0898,,,,,,,,,Charisa,R,Richardson,,Owner/Director,309-633-1030,,,112 Park Ridge Lane,,Pekin,IL,61554,3900,40.568365,-89.607879,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,,,,,1,1,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,1,,1,,1,1,,,,1,1,,,,,,,,,1,1,1,1,1,1,,,1,1,,1,,1,1,1,1,1,,,1,
"Dr. Thembi Ayannah Conner-Garcia, ",,1701 W. Garden Street,,Peoria,IL,61605,,Peoria County,(309)680-7600,,,,,,,,Dr.,Thembi,Ayannah,Conner-Garcia,,,(309)680-7600,(309)681-8620,,1701 W. Garden Street,,Peoria,IL,61605,,40.6764,-89.6199,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Tazwood Mental Health Center Inc,DBA Tazwood Center for Wellness,3248 Vandever Avenue,,Pekin,IL,61554,,Tazewell,309-347-5522,,,,,,,http://www.tazwoodmentalhealth.org,,Ed,,Betzelberger,,Chief Executive Officer,,,,,,,,,,40.546856,-89.599548,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,1,,,,,1,,,,,,,1,1,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,1,1,1,1,,,1,1,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1,1,,1,,1,1,1,1,1,,,1,
IL Institute for Addiction Recovery at,Unity Point Hospital Methodist/Proctor,5409 North Knoxville Avenue,,Peoria,IL,61614,,Peoria,309-691-1055,Intake,,800-522-3784,,,,http://www.addictionrecov.org,,Amanda,,Doman,,Vice President,,,,,,,,,,40.7529512,-89.5976133,SA,2/1/17 17:30,1,,,,1,1,,,,,,,,1,1,1,,,,,,1,,,,1,1,1,,,1,,,1,,1,,,,1,1,1,1,1,1,1,1,1,,1,,,,,,,1,1,1,1,1,,,,,,,1,,1,,1,,,,,,,1,,,,1,,,,,,1,1,,1,1,1,,,,1,1,1,1,,,1,1,1,1,1,1,,1,1,,1,,,,1,,1,,1,1,1,,,,
"Dr. Glen Norris Feather, D.O.",,5401 North Knoxville Avenue,Suite 416,Peoria,IL,61614,,Peoria County,(309)692-7246,,,,,,,,Dr.,Glen,Norris,Feather,D.O.,,(309)692-7246,(309)692-7226,,5401 North Knoxville Avenue,Suite 416,Peoria,IL,61614,,40.7527,-89.598,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Susan Joan Cole, M.D.",,Samaritan Family Medical Services,"5401 N. Knoxville Ave., Suite 215",Peoria,IL,61614,,Peoria County,(309)689-0044,,,,,,,,Dr.,Susan,Joan,Cole,M.D.,,(309)689-0044,(309)689-0055,,Samaritan Family Medical Services,"5401 N. Knoxville Ave., Suite 215",Peoria,IL,61614,,40.7527,-89.598,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. Robert Allan Lizer, M.D.",,5401 N. Knoxville Ave,Suite 204,Peoria,IL,61614,,Peoria County,(309)683-1200,,,,,,,,Dr.,Robert,Allan,Lizer,M.D.,,(309)683-1200,(309)689-2960,,5401 N. Knoxville Ave,Suite 204,Peoria,IL,61614,,40.7527,-89.598,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Alcohol and Drug Professionals,,400 Court Street,,Pekin,IL,61554,,Tazewell,309-346-2002,Intake,309-649-1002,,,,,,,Deborah,,Nelson,,,,,,,,,,,,40.5691753,-89.6467704,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,,1,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,,1,,,,1,,1,,1,1,1,,,1,
Countermeasures Inc,,343 Court Street,,Pekin,IL,61554,,Tazewell,309-347-8282,,,,,,,,,Sandra,J,Long,,Director,309-827-0818,,,465 Fulton Street,Suite 271 Twin Towers,Peoria,IL,61602,,40.569889,-89.647661,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,1,1,1,1,,1,1,,1,1,1,1,1,,,1,
Gateway Foundation Inc,Alcohol and Drug Treatment/Pekin,11 South Capitol Street,,Pekin,IL,61554,4106,Tazewell,309-346-7800,Intake,309-346-7800-0,,Hotline,877-505-4673,,http://www.recovergateway.org,,Kerry,,Henry,,President and CEO,312-663-1130,,,,,,,,,40.5695352,-89.6485712,SA,2/1/17 17:30,1,,,,1,,,,,,,,,1,1,1,,,,,,1,,,,1,,1,1,,,1,,,,1,,,,,1,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,1,1,1,,,1,,1,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,1,1,,1,,1,1,1,1,,1,,1,1,1,1,1,,,,
"Dr. George Carlton Gilbert, M.D.",,Samaritan Family Medical Services,"5401 N. Knoxville Avenue, Suite 215",Peoria,IL,61614,,Peoria County,(309)689-0044,,,,,,,,Dr.,George,Carlton,Gilbert,M.D.,,(309)689-0044,(309)689-0055,,Samaritan Family Medical Services,"5401 N. Knoxville Avenue, Suite 215",Peoria,IL,61614,,40.7658,-89.5969,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"Dr. George K. Shotick, M.D.",,Human Service Center,3420 North Rochelle Lane,Peoria,IL,61604,,Peoria County,(309)222-2185,,,,,,,,Dr.,George,K.,Shotick,M.D.,,(309)222-2185,(309)282-1089,,Human Service Center,3420 North Rochelle Lane,Peoria,IL,61604,,40.7001,-89.6581,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Human Service Center,Rochelle,3420 North Rochelle Lane,,Peoria,IL,61654,,Peoria,309-222-2185,Intake,309-671-8040,,,,,http://www.hscpeoria.org,Ms,Beth,,Koch,,,,,,,,,,,,40.730206,-89.643257,SA,2/1/17 17:30,1,,,,1,,1,,,1,,,,1,,,1,,,,,,,1,1,1,,1,,,,1,,,,1,,,,,1,,,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,,1,,1,1,,,1,,,1,1,1,1,1,1,,
New Leaf,,3500 New Leaf Lane,,Peoria,IL,61615,,Peoria,(309) 689-3078 ,Intakes,(309) 671-8040,(800) 475-0257,,,,http://www.hscpeoria.org,Ms,Elizabeth,,Koch,,,,,,,,,,,,40.752448,-89.645236,SA,2/1/17 17:30,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,1,,1,,,,1,,,1,1,1,1,,,,1,1,,,,,,,1,,,,,,,1,1,,,1,,,,,,,1,1,,1,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,,,,,
" Arun C. Pinto, M.D.",,3400 New Leaf Lane,,Peoria,IL,61615,,Peoria County,(309)589-1011,,,,,,,,,Arun,C.,Pinto,M.D.,,(309)589-1011,(309)589-1019,,3400 New Leaf Lane,,Peoria,IL,61615,,40.7522,-89.6461,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL Alcohol and Drug Evaluation Servs,,7501 North University Street,Suite 201,Peoria,IL,61614,,Peoria,309-692-9236,Intake,888-374-7623,,,,,,,Sherry,J,Chambers,,President,,,,,,,,,,40.7788317,-89.6225002,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,1,,1,1,,,,,1,,,,,,,,,1,1,1,,1,1,,1,1,,,1,,1,,1,1,1,,,1,
Human Service Center on,Willow Knolls Road,2101 West Willow Knolls Road,,Peoria,IL,61614,,Peoria,309-689-3080,,,,,,,http://www.hscpeoria.org,Ms,Elizabeth,,Koch,,,,,,,,,,,,40.777354,-89.625538,SA,2/1/17 17:30,1,,,,1,,,,,,,,,1,,,,,,,,1,,,,,,1,,,,1,,,1,,1,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,,1,1,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,1,,1,1,,,1,,,1,1,,1,,,,
"Dr. Richard Frederick Schock, II",,Whitman Medical Unit,2101 West Willow Knolls Road,Peoria,IL,61614,,Peoria County,(309)689-3080,,,,,,,,Dr.,Richard,Frederick,Schock,II,,(309)689-3080,(309)689-3077,,Whitman Medical Unit,2101 West Willow Knolls Road,Peoria,IL,61614,,40.7774,-89.6255,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Childrens Home Assoc of IL,County Juvenile Detention,223 North Maxwell Road,,Peoria,IL,61604,5278,Peoria,309-634-4200,,,,,,,,,Tegan,,Camden,,COO,309-685-1047,,,2130 North Knoxville Avenue,,Peoria,IL,61603,,40.689454,-89.695997,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,,,1,,,,1,,,,,,,,1,,,,,,,,,,,1,,1,1,,,,,,1,,,,,1,,1,1,,,,,,,1,,,,,,,,,,,1,,,,,1,,,1,,,,,,,,,1,1,1,,,1,,,1,,,1,,1,,1,1,1,,,,
"Dr. Darrell D. Rust, M.D.",,1003 Martin Luther King Jr. Drive,,Bloomington,IL,61701,,McLean County,(309)827-6026,,,,,,,,Dr.,Darrell,D.,Rust,M.D.,,(309)827-6026,(309)820-1386,,1003 Martin Luther King Jr. Drive,,Bloomington,IL,61701,,40.4908,-89.022,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
Chestnut Health Systems Inc,,1003 Martin Luther King Jr Drive,,Bloomington,IL,61701,,McLean,309-827-6026,,,,,,,http://www.chestnut.org,,Joan,,Hartman,,Director,,,,,,,,,,40.4907531,-89.0219849,SA,2/1/17 17:30,,,1,,1,,,,,,,,,,,,,1,,,,1,,,,1,1,1,1,,1,,,,1,1,1,,,,,,1,1,,,1,,,1,,,,,,,1,,,,1,,,,,,,1,1,,1,1,,,,1,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,1,,1,1,1,,1,1,1,1,1,,,1,,1,,1,1,1,,,,
Chestnut Health Systems Inc,Adult Chemical Dependency Services,702 West Chestnut Street,,Bloomington,IL,61701,,McLean,(309) 827-6026,,,,,,,http://www.chestnut.org,,Tammy,,Rodgers,,Executive Director,,,,,,,,,,40.485489,-89.000282,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,1,1,1,1,1,,1,,,1,1,1,,,,,,1,1,,,,,,1,,,,,,,1,,,,1,,,,,,,1,1,,1,1,,,,1,,,1,,,,1,,,,,1,,,,1,1,,1,,,,1,,,,,,1,,1,1,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,
"Dr. Artur  Djagarian, ",,1302 Franklin Avenue,Suite 1100,Normal,IL,61761,,McLean County,(309)268-2727,,,,,,,,Dr.,Artur,,Djagarian,,,(309)268-2727,(309)268-2762,,1302 Franklin Avenue,Suite 1100,Normal,IL,61761,,40.4975,-88.9915,BUPREN,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IL Institute for Addiction Recovery at,Advocate BroMenn Medical Center,1304 Franklin Avenue,,Normal,IL,61761,,McLean,309-888-0993,Intakes,309-691-1055,800-522-3784,,,,http://www.addictionrecov.org,,Amanda,,Doman,,,,,,,,,,,,40.496466,-88.9911266,SA,2/1/17 17:30,1,,,,1,1,,,,,,,,1,1,1,,,,,,1,,,,1,1,1,,,1,,,1,,1,,,,,,1,1,1,1,1,,1,,1,,,,,,,1,1,1,,1,,,,,,,1,,1,,1,,,,,,,1,,,,1,,,,,,,1,,1,1,,,,,1,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,,,1,,1,,1,1,1,,,,
Advanced Counseling Evaluation ,Treatment and DUI Services,705 East Lincoln Street  ,Suite 204,Normal,IL,61761,,McLean,309-808-1017,,,,,,,http://www.acetduirservices.com,,Michael,,Burash,,,815-343-5691,,,,,,,,,40.520437,-88.976125,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,1,1,,,,1,1,1,,1,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,1,,,,,,,,,1,,,,1,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,1,,1,1,,1,,1,,1,,1,1,1,,,1,
ABC Unlimited Inc,,409 West Washington Street,,Bloomington,IL,61701,,McLean,309-820-6757,,,,,,,http://www.abcunlimited.org,Mr,Adrian ,B,Cooper,,President/CEO,309-242-6757,,,P.O. Box 172,,Normal,IL,61761,172,40.47977,-88.997163,SA,2/1/17 17:30,1,,,,1,,,,,,,,,,,,,,,,,1,,,,,,1,,,,1,,,,1,,,,,,,,1,,,,,,1,,,,,,,1,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,1,1,1,,1,1,,1,1,,,1,,,1,1,1,1,,,1,
Bloomington Normal Treatment Center,,303 Landmark Drive,Suite 2-B,Normal,IL,61761,,McLean,309-808-2388,,,,,,,http://www.riverwoodgroup.com,,Kirk,D,Gohsman,,Director of Quality Mang.,309-808-2388,,,,,,,,,40.515223,-88.954728,SA,2/1/17 17:30,1,,,,1,1,1,1,,,,,,,,,1,,,,,,,1,1,1,1,1,,,1,,,,,1,,,,1,1,,,1,,,,,,1,,,,,,,1,,1,,,1,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,1,,,,1,,,1,1,1,1,,1,,
